codice_istat,comune,popolazione_2024,unita_locali_2023,addetti_2023,presenze_turistiche_2024
017001,Acquafredda,1545,130,432.7,
017002,Adro,7146,668,3550.5,20157
017003,Agnosine,1639,168,715.6,
017004,Alfianello,2304,165,738.7,
017005,Anfo,436,38,66.1,70787
017006,Angolo Terme,2338,140,272.9,6942
017007,Artogne,3671,301,1230.8,3317
017008,Azzano Mella,3507,248,1122.0,
017009,Bagnolo Mella,12471,888,3021.5,1125
017010,Bagolino,3764,313,812.2,41536
017011,Barbariga,2300,146,512.3,
017012,Barghe,1157,74,309.4,
017013,Bassano Bresciano,2367,193,664.0,
017014,Bedizzole,12172,1083,4706.4,20264
017015,Berlingo,2740,236,1003.9,
017016,Berzo Demo,1459,121,426.4,457
017017,Berzo Inferiore,2473,227,909.7,
017018,Bienno,3760,313,953.9,3889
017019,Bione,1286,99,743.4,
017020,Borgo San Giacomo,5577,352,1156.0,1765
017021,Borgosatollo,9092,776,2719.8,
017022,Borno,2422,232,544.3,38299
017023,Botticino,10772,853,2063.8,320
017024,Bovegno,2005,142,296.1,1708
017025,Bovezzo,7309,511,1804.2,
017026,Brandico,1757,103,619.3,
017027,Braone,686,64,160.5,
017028,Breno,4647,599,2211.1,16411
017029,Brescia,199853,26287,100939.2,883531
017030,Brione,754,45,99.1,884
017031,Caino,2192,113,507.1,
017032,Calcinato,13028,1138,5534.3,18941
017033,Calvagese della Riviera,3699,335,1112.8,27163
017034,Calvisano,8435,617,2634.7,3081
017035,Capo di Ponte,2287,167,388.3,5256
017036,Capovalle,341,31,43.6,839
017037,Capriano del Colle,4844,392,1678.6,
017038,Capriolo,9390,950,4037.8,21500
017039,Carpenedolo,12968,1000,4160.0,182
017040,Castegnato,8392,778,4232.4,
017041,Castelcovati,7059,417,1341.0,
017042,Castel Mella,10953,813,3182.5,
017043,Castenedolo,11687,1099,5561.6,70779
017044,Casto,1616,146,1009.4,2451
017045,Castrezzato,7836,523,1661.0,7815
017046,Cazzago San Martino,10787,877,4346.8,36215
017047,Cedegolo,1124,104,331.8,574
017048,Cellatica,4870,476,2241.1,
017049,Cerveno,694,41,301.3,419
017050,Ceto,1770,179,658.1,9432
017051,Cevo,792,52,92.2,5212
017052,Chiari,19552,1700,5593.4,7398
017053,Cigole,1472,114,704.0,1639
017054,Cimbergo,538,33,58.5,3024
017055,Cividate Camuno,2655,287,1512.2,1667
017056,Coccaglio,8859,755,2851.0,
017057,Collebeato,4459,411,1407.2,
017058,Collio,1975,152,402.1,10887
017059,Cologne,7611,598,2951.6,2409
017060,Comezzano-Cizzago,4177,225,539.0,
017061,Concesio,15670,1356,4526.4,1736
017062,Corte Franca,7179,717,2874.9,38874
017063,Corteno Golgi,1896,185,569.7,80646
017064,Corzano,1529,108,582.5,
017065,Darfo Boario Terme,15877,1776,6489.4,127189
017066,Dello,5675,357,1650.1,7375
017067,Desenzano del Garda,29313,3246,11040.5,1156392
017068,Edolo,4414,462,1427.0,19809
017069,Erbusco,8842,1019,4800.5,47465
017070,Esine,5042,534,1888.2,2110
017071,Fiesse,2067,105,235.6,
017072,Flero,8734,1059,5201.1,
017073,Gambara,4722,342,1201.7,
017074,Gardone Riviera,2593,251,1003.3,284006
017075,Gardone Val Trompia,11467,760,4126.6,3106
017076,Gargnano,2631,319,872.0,229071
017077,Gavardo,12316,1209,4161.8,9810
017078,Ghedi,18504,1364,5289.1,11580
017079,Gianico,2076,199,725.0,
017080,Gottolengo,5027,339,1211.0,0
017081,Gussago,16692,1573,6558.4,5922
017082,Idro,1871,172,425.6,135050
017083,Incudine,344,21,24.8,978
017084,Irma,131,10,12.3,
017085,Iseo,8979,1137,3571.8,451188
017086,Isorella,4102,343,1463.6,
017087,Lavenone,506,51,329.6,870
017088,Leno,14410,1050,4672.6,12504
017089,Limone sul Garda,1103,230,1467.3,1235789
017090,Lodrino,1630,123,474.0,990
017091,Lograto,3834,293,1419.9,
017092,Lonato del Garda,17062,1663,7594.0,127145
017093,Longhena,563,42,280.0,
017094,Losine,622,33,39.2,
017095,Lozio,362,20,29.6,913
017096,Lumezzane,21637,1715,8226.7,
017097,Maclodio,1462,152,1068.2,
017098,Magasa,102,5,8.8,
017099,Mairano,3484,172,735.9,
017100,Malegno,1924,159,418.2,
