codice_istat,comune,anno,tavola,indicatore,ownership_type,numb_room,use_floor_spacegroup,heating_system_type,access_building,type_of_building,valore
017001,Acquafredda,2019,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,738
017001,Acquafredda,2019,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,589
017001,Acquafredda,2019,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,149
017001,Acquafredda,2021,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,742
017001,Acquafredda,2021,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,609
017001,Acquafredda,2021,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,133
017001,Acquafredda,2023,occupate_e_non_occupate,conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,756
017001,Acquafredda,2023,occupate_e_non_occupate,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,617
017001,Acquafredda,2023,occupate_e_non_occupate,unoccupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,139
017001,Acquafredda,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,589
017001,Acquafredda,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,"other form of tenure different from ownership, rent",total,all items,all items,TOTAL,TOTAL,21
017001,Acquafredda,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,ownership,total,all items,all items,TOTAL,TOTAL,484
017001,Acquafredda,2019,titolo_di_godimento,occupied conventional dwellings on 31st December,rent,total,all items,all items,TOTAL,TOTAL,84
017001,Acquafredda,2021,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,609
017001,Acquafredda,2023,titolo_di_godimento,occupied conventional dwellings on 31st December,all items,total,all items,all items,TOTAL,TOTAL,617
