id_sensore,stazione,parametro,mese,media,lettura_massima,n_misure,stato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-01,7.80,75.00,648,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-04,64.18,185.30,683,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-05,62.96,193.90,726,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-06,64.30,186.90,672,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-07,102.99,264.50,741,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-08,68.35,233.10,599,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-09,48.35,171.50,716,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-10,17.65,90.20,642,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-11,16.87,80.50,681,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2007-12,12.68,63.20,664,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-01,11.85,91.90,737,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-02,18.33,84.20,696,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-03,47.47,140.80,504,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-04,56.48,152.50,719,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-05,65.20,172.30,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-06,72.29,229.10,720,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-07,86.42,225.90,643,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-08,83.63,212.00,743,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-09,43.98,187.40,650,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-10,23.99,108.00,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-11,22.77,75.70,720,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2008-12,9.88,63.70,721,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-01,9.80,67.40,708,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-02,28.71,100.30,672,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-03,43.05,111.30,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-04,55.90,138.50,719,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-05,83.24,217.20,741,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-06,78.64,195.00,703,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-07,89.55,214.10,601,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-08,82.53,183.10,654,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-09,47.23,169.90,718,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-10,34.29,109.30,723,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-11,6.26,50.90,613,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2009-12,10.15,59.70,731,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-01,1.50,1.50,1,copertura_scarsa
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-01,9.22,71.30,741,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-02,18.83,90.90,662,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-03,32.71,113.90,742,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-04,53.75,148.10,720,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-05,63.91,188.40,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-06,77.91,180.00,719,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-07,98.69,222.30,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-08,69.31,166.30,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-09,45.52,133.20,719,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-10,17.35,70.20,722,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-11,16.20,62.50,720,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2010-12,14.21,73.60,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2011-01,10.50,54.70,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2011-02,17.61,79.50,672,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2011-03,31.12,114.10,744,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2011-04,67.34,156.50,720,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2011-05,78.87,211.00,742,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2011-06,56.52,182.00,718,osservato
10270,Darfo Boario Terme v. De Amicis,Ozono,2011-07,67.45,172.10,744,osservato
