codice_istat,comune,anno,indicatore,valore
017001,Acquafredda,2021,italiani,1336
017001,Acquafredda,2021,italiani_acquisiti,27
017001,Acquafredda,2021,italiani_acquisiti_nati_all_estero,21
017001,Acquafredda,2021,italiani_acquisiti_nati_in_italia,6
017001,Acquafredda,2021,italiani_acquisiti_nati_in_italia_minorenni,3
017001,Acquafredda,2021,italiani_dalla_nascita,1309
017001,Acquafredda,2021,italiani_dalla_nascita_nati_all_estero,10
017001,Acquafredda,2021,italiani_dalla_nascita_nati_in_italia,1299
017001,Acquafredda,2021,popolazione_residente,1518
017001,Acquafredda,2021,stranieri,182
017001,Acquafredda,2021,stranieri_nati_all_estero,131
017001,Acquafredda,2021,stranieri_nati_in_italia,51
017001,Acquafredda,2021,stranieri_nati_in_italia_minorenni,45
017001,Acquafredda,2022,italiani,1328
017001,Acquafredda,2022,italiani_acquisiti,38
017001,Acquafredda,2022,italiani_acquisiti_nati_all_estero,26
017001,Acquafredda,2022,italiani_acquisiti_nati_in_italia,12
017001,Acquafredda,2022,italiani_acquisiti_nati_in_italia_minorenni,8
017001,Acquafredda,2022,italiani_dalla_nascita,1290
017001,Acquafredda,2022,italiani_dalla_nascita_nati_all_estero,14
017001,Acquafredda,2022,italiani_dalla_nascita_nati_in_italia,1276
017001,Acquafredda,2022,popolazione_residente,1525
017001,Acquafredda,2022,stranieri,197
017001,Acquafredda,2022,stranieri_nati_all_estero,145
017001,Acquafredda,2022,stranieri_nati_in_italia,52
017001,Acquafredda,2022,stranieri_nati_in_italia_minorenni,45
017001,Acquafredda,2023,italiani,1347
017001,Acquafredda,2023,italiani_acquisiti,44
017001,Acquafredda,2023,italiani_acquisiti_nati_all_estero,26
017001,Acquafredda,2023,italiani_acquisiti_nati_in_italia,18
017001,Acquafredda,2023,italiani_acquisiti_nati_in_italia_minorenni,13
017001,Acquafredda,2023,italiani_dalla_nascita,1303
017001,Acquafredda,2023,italiani_dalla_nascita_nati_all_estero,12
017001,Acquafredda,2023,italiani_dalla_nascita_nati_in_italia,1291
017001,Acquafredda,2023,popolazione_residente,1550
017001,Acquafredda,2023,stranieri,203
017001,Acquafredda,2023,stranieri_nati_all_estero,152
017001,Acquafredda,2023,stranieri_nati_in_italia,51
017001,Acquafredda,2023,stranieri_nati_in_italia_minorenni,43
017002,Adro,2021,italiani,6730
017002,Adro,2021,italiani_acquisiti,241
017002,Adro,2021,italiani_acquisiti_nati_all_estero,164
017002,Adro,2021,italiani_acquisiti_nati_in_italia,77
017002,Adro,2021,italiani_acquisiti_nati_in_italia_minorenni,48
017002,Adro,2021,italiani_dalla_nascita,6489
017002,Adro,2021,italiani_dalla_nascita_nati_all_estero,48
017002,Adro,2021,italiani_dalla_nascita_nati_in_italia,6441
017002,Adro,2021,popolazione_residente,7171
017002,Adro,2021,stranieri,441
017002,Adro,2021,stranieri_nati_all_estero,364
017002,Adro,2021,stranieri_nati_in_italia,77
017002,Adro,2021,stranieri_nati_in_italia_minorenni,74
017002,Adro,2022,italiani,6743
017002,Adro,2022,italiani_acquisiti,266
017002,Adro,2022,italiani_acquisiti_nati_all_estero,172
017002,Adro,2022,italiani_acquisiti_nati_in_italia,94
017002,Adro,2022,italiani_acquisiti_nati_in_italia_minorenni,58
017002,Adro,2022,italiani_dalla_nascita,6477
