anno,gruppo,classe_eta,titolo,valore
2021,italiani acquisiti,25-49 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,9556
2021,italiani acquisiti,25-49 anni,licenza di scuola elementare,736
2021,italiani acquisiti,25-49 anni,licenza di scuola media inferiore o di avviamento professionale,8326
2021,italiani acquisiti,25-49 anni,nessun titolo di studio,319
2021,italiani acquisiti,25-49 anni,titolo universitario o accademico,3387
2021,italiani acquisiti,25-49 anni,totale,22324
2021,italiani acquisiti,50-64 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,4852
2021,italiani acquisiti,50-64 anni,licenza di scuola elementare,1367
2021,italiani acquisiti,50-64 anni,licenza di scuola media inferiore o di avviamento professionale,4937
2021,italiani acquisiti,50-64 anni,nessun titolo di studio,481
2021,italiani acquisiti,50-64 anni,titolo universitario o accademico,1711
2021,italiani acquisiti,50-64 anni,totale,13348
2021,italiani acquisiti,65 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,969
2021,italiani acquisiti,65 anni e più,licenza di scuola elementare,585
2021,italiani acquisiti,65 anni e più,licenza di scuola media inferiore o di avviamento professionale,978
2021,italiani acquisiti,65 anni e più,nessun titolo di studio,121
2021,italiani acquisiti,65 anni e più,titolo universitario o accademico,405
2021,italiani acquisiti,65 anni e più,totale,3058
2021,italiani acquisiti,9 anni e più,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,20053
2021,italiani acquisiti,9 anni e più,licenza di scuola elementare,7644
2021,italiani acquisiti,9 anni e più,licenza di scuola media inferiore o di avviamento professionale,21549
2021,italiani acquisiti,9 anni e più,nessun titolo di studio,3601
2021,italiani acquisiti,9 anni e più,titolo universitario o accademico,5831
2021,italiani acquisiti,9 anni e più,totale,58678
2021,italiani acquisiti,9-24 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,4676
2021,italiani acquisiti,9-24 anni,licenza di scuola elementare,4956
2021,italiani acquisiti,9-24 anni,licenza di scuola media inferiore o di avviamento professionale,7308
2021,italiani acquisiti,9-24 anni,nessun titolo di studio,2680
2021,italiani acquisiti,9-24 anni,titolo universitario o accademico,328
2021,italiani acquisiti,9-24 anni,totale,19948
2021,italiani dalla nascita,25-49 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,145833
2021,italiani dalla nascita,25-49 anni,licenza di scuola elementare,1846
2021,italiani dalla nascita,25-49 anni,licenza di scuola media inferiore o di avviamento professionale,70445
2021,italiani dalla nascita,25-49 anni,nessun titolo di studio,637
2021,italiani dalla nascita,25-49 anni,titolo universitario o accademico,76096
2021,italiani dalla nascita,25-49 anni,totale,294857
2021,italiani dalla nascita,50-64 anni,diploma di istruzione secondaria di II grado o di qualifica professionale (corso di 3-4 anni) compresi IFTS,95435
2021,italiani dalla nascita,50-64 anni,licenza di scuola elementare,11910
