codice_istat,comune,anno,indicatore,valore
017001,Acquafredda,2019,aggiustamento_statistico,10
017001,Acquafredda,2020,aggiustamento_statistico,-2
017001,Acquafredda,2021,aggiustamento_statistico,-2
017001,Acquafredda,2022,aggiustamento_statistico,2
017001,Acquafredda,2023,aggiustamento_statistico,1
017001,Acquafredda,2024,aggiustamento_statistico,-2
017001,Acquafredda,2019,emigrati_estero,15
017001,Acquafredda,2020,emigrati_estero,3
017001,Acquafredda,2021,emigrati_estero,5
017001,Acquafredda,2022,emigrati_estero,1
017001,Acquafredda,2023,emigrati_estero,4
017001,Acquafredda,2024,emigrati_estero,13
017001,Acquafredda,2019,emigrati_interni,73
017001,Acquafredda,2020,emigrati_interni,48
017001,Acquafredda,2021,emigrati_interni,50
017001,Acquafredda,2022,emigrati_interni,43
017001,Acquafredda,2023,emigrati_interni,38
017001,Acquafredda,2024,emigrati_interni,59
017001,Acquafredda,2019,immigrati_estero,8
017001,Acquafredda,2020,immigrati_estero,4
017001,Acquafredda,2021,immigrati_estero,8
017001,Acquafredda,2022,immigrati_estero,13
017001,Acquafredda,2023,immigrati_estero,8
017001,Acquafredda,2024,immigrati_estero,11
017001,Acquafredda,2019,immigrati_interni,56
017001,Acquafredda,2020,immigrati_interni,67
017001,Acquafredda,2021,immigrati_interni,65
017001,Acquafredda,2022,immigrati_interni,51
017001,Acquafredda,2023,immigrati_interni,57
017001,Acquafredda,2024,immigrati_interni,54
017001,Acquafredda,2019,morti,12
017001,Acquafredda,2020,morti,29
017001,Acquafredda,2021,morti,17
017001,Acquafredda,2022,morti,18
017001,Acquafredda,2023,morti,11
017001,Acquafredda,2024,morti,9
017001,Acquafredda,2019,nati,9
017001,Acquafredda,2020,nati,20
017001,Acquafredda,2021,nati,6
017001,Acquafredda,2022,nati,3
017001,Acquafredda,2023,nati,12
017001,Acquafredda,2024,nati,13
017001,Acquafredda,2019,popolazione_censita,1504
017001,Acquafredda,2020,popolazione_censita,1513
017001,Acquafredda,2021,popolazione_censita,1518
017001,Acquafredda,2022,popolazione_censita,1525
017001,Acquafredda,2023,popolazione_censita,1550
017001,Acquafredda,2024,popolazione_censita,1545
017001,Acquafredda,2019,popolazione_fine,1494
017001,Acquafredda,2020,popolazione_fine,1515
017001,Acquafredda,2021,popolazione_fine,1520
