territorio,anno,flusso,settore,codice_settore,partner,codice_partner,valore_euro
ITC4,1991,export,[A],A,All countries of the world,WORLD,136582240
ITC4,1992,export,[A],A,All countries of the world,WORLD,135147035
ITC4,1993,export,[A],A,All countries of the world,WORLD,198901084
ITC4,1994,export,[A],A,All countries of the world,WORLD,209993923
ITC4,1995,export,[A],A,All countries of the world,WORLD,264973688
ITC4,1996,export,[A],A,All countries of the world,WORLD,246865328
ITC4,1997,export,[A],A,All countries of the world,WORLD,269907144
ITC4,1998,export,[A],A,All countries of the world,WORLD,274903853
ITC4,1999,export,[A],A,All countries of the world,WORLD,255599240
ITC4,2000,export,[A],A,All countries of the world,WORLD,270075504
ITC4,2001,export,[A],A,All countries of the world,WORLD,304788411
ITC4,2002,export,[A],A,All countries of the world,WORLD,310162672
ITC4,2003,export,[A],A,All countries of the world,WORLD,287971879
ITC4,2004,export,[A],A,All countries of the world,WORLD,238237717
ITC4,2005,export,[A],A,All countries of the world,WORLD,231091109
ITC4,2006,export,[A],A,All countries of the world,WORLD,248719012
ITC4,2007,export,[A],A,All countries of the world,WORLD,333530679
ITC4,2008,export,[A],A,All countries of the world,WORLD,357985078
ITC4,2009,export,[A],A,All countries of the world,WORLD,322744170
ITC4,2010,export,[A],A,All countries of the world,WORLD,334797843
ITC4,2011,export,[A],A,All countries of the world,WORLD,329233148
ITC4,2012,export,[A],A,All countries of the world,WORLD,340472618
ITC4,2013,export,[A],A,All countries of the world,WORLD,367892690
ITC4,2014,export,[A],A,All countries of the world,WORLD,401290702
ITC4,2015,export,[A],A,All countries of the world,WORLD,418500092
ITC4,2016,export,[A],A,All countries of the world,WORLD,415455691
ITC4,2017,export,[A],A,All countries of the world,WORLD,412697518
ITC4,2018,export,[A],A,All countries of the world,WORLD,432083399
ITC4,2019,export,[A],A,All countries of the world,WORLD,476393762
ITC4,2020,export,[A],A,All countries of the world,WORLD,496115368
ITC4,2021,export,[A],A,All countries of the world,WORLD,565789954
ITC4,2022,export,[A],A,All countries of the world,WORLD,646326973
ITC4,2023,export,[A],A,All countries of the world,WORLD,690884231
ITC4,2024,export,[A],A,All countries of the world,WORLD,669297087
ITC4,2025,export,[A],A,All countries of the world,WORLD,712845028
ITC4,1991,export,all items,ALL,All countries of the world,WORLD,33200010511
ITC4,1992,export,all items,ALL,All countries of the world,WORLD,35441920627
ITC4,1993,export,all items,ALL,All countries of the world,WORLD,42025537895
ITC4,1994,export,all items,ALL,All countries of the world,WORLD,48217463892
ITC4,1995,export,all items,ALL,All countries of the world,WORLD,59514543943
ITC4,1996,export,all items,ALL,All countries of the world,WORLD,59960676993
ITC4,1997,export,all items,ALL,All countries of the world,WORLD,61833536131
ITC4,1998,export,all items,ALL,All countries of the world,WORLD,63665482273
ITC4,1999,export,all items,ALL,All countries of the world,WORLD,63256035464
ITC4,2000,export,all items,ALL,All countries of the world,WORLD,73481041203
ITC4,2001,export,all items,ALL,All countries of the world,WORLD,78408173524
ITC4,2002,export,all items,ALL,All countries of the world,WORLD,75736546954
ITC4,2003,export,all items,ALL,All countries of the world,WORLD,75994549923
ITC4,2004,export,all items,ALL,All countries of the world,WORLD,79202295814
ITC4,2005,export,all items,ALL,All countries of the world,WORLD,85315438060
ITC4,2006,export,all items,ALL,All countries of the world,WORLD,93257942008
ITC4,2007,export,all items,ALL,All countries of the world,WORLD,102083476443
ITC4,2008,export,all items,ALL,All countries of the world,WORLD,104101926413
ITC4,2009,export,all items,ALL,All countries of the world,WORLD,82268974327
ITC4,2010,export,all items,ALL,All countries of the world,WORLD,94022190164
ITC4,2011,export,all items,ALL,All countries of the world,WORLD,104217944218
ITC4,2012,export,all items,ALL,All countries of the world,WORLD,108143540414
ITC4,2013,export,all items,ALL,All countries of the world,WORLD,108095820257
ITC4,2014,export,all items,ALL,All countries of the world,WORLD,109546487041
ITC4,2015,export,all items,ALL,All countries of the world,WORLD,111341283378
ITC4,2016,export,all items,ALL,All countries of the world,WORLD,111961338760
ITC4,2017,export,all items,ALL,All countries of the world,WORLD,120786501795
ITC4,2018,export,all items,ALL,All countries of the world,WORLD,127252622891
ITC4,2019,export,all items,ALL,All countries of the world,WORLD,127487880784
ITC4,2020,export,all items,ALL,All countries of the world,WORLD,114062925644
ITC4,2021,export,all items,ALL,All countries of the world,WORLD,136513235227
ITC4,2022,export,all items,ALL,All countries of the world,WORLD,162248700479
ITC4,2023,export,all items,ALL,All countries of the world,WORLD,162991248022
ITC4,2024,export,all items,ALL,All countries of the world,WORLD,164117274535
ITC4,2025,export,all items,ALL,All countries of the world,WORLD,167082192041
ITC4,1991,export,[B],B,All countries of the world,WORLD,34715552
ITC4,1992,export,[B],B,All countries of the world,WORLD,42886262
ITC4,1993,export,[B],B,All countries of the world,WORLD,59327305
ITC4,1994,export,[B],B,All countries of the world,WORLD,73173068
ITC4,1995,export,[B],B,All countries of the world,WORLD,63503653
ITC4,1996,export,[B],B,All countries of the world,WORLD,53996220
ITC4,1997,export,[B],B,All countries of the world,WORLD,52864202
ITC4,1998,export,[B],B,All countries of the world,WORLD,55887105
ITC4,1999,export,[B],B,All countries of the world,WORLD,59847610
ITC4,2000,export,[B],B,All countries of the world,WORLD,89525489
ITC4,2001,export,[B],B,All countries of the world,WORLD,128063865
ITC4,2002,export,[B],B,All countries of the world,WORLD,123101223
ITC4,2003,export,[B],B,All countries of the world,WORLD,187073011
ITC4,2004,export,[B],B,All countries of the world,WORLD,230267157
ITC4,2005,export,[B],B,All countries of the world,WORLD,251992263
ITC4,2006,export,[B],B,All countries of the world,WORLD,150405928
ITC4,2007,export,[B],B,All countries of the world,WORLD,283722360
ITC4,2008,export,[B],B,All countries of the world,WORLD,622393003
ITC4,2009,export,[B],B,All countries of the world,WORLD,450675177
ITC4,2010,export,[B],B,All countries of the world,WORLD,414180380
ITC4,2011,export,[B],B,All countries of the world,WORLD,266327571
ITC4,2012,export,[B],B,All countries of the world,WORLD,189009911
ITC4,2013,export,[B],B,All countries of the world,WORLD,198465925
ITC4,2014,export,[B],B,All countries of the world,WORLD,246008169
ITC4,2015,export,[B],B,All countries of the world,WORLD,244129351
ITC4,2016,export,[B],B,All countries of the world,WORLD,231978244
ITC4,2017,export,[B],B,All countries of the world,WORLD,253315542
ITC4,2018,export,[B],B,All countries of the world,WORLD,235228795
ITC4,2019,export,[B],B,All countries of the world,WORLD,224699821
ITC4,2020,export,[B],B,All countries of the world,WORLD,207961077
ITC4,2021,export,[B],B,All countries of the world,WORLD,323974285
ITC4,2022,export,[B],B,All countries of the world,WORLD,1103927681
ITC4,2023,export,[B],B,All countries of the world,WORLD,341137236
ITC4,2024,export,[B],B,All countries of the world,WORLD,290183917
ITC4,2025,export,[B],B,All countries of the world,WORLD,239892801
ITC4,1991,export,[C],C,All countries of the world,WORLD,32693640964
ITC4,1992,export,[C],C,All countries of the world,WORLD,34899212765
ITC4,1993,export,[C],C,All countries of the world,WORLD,41298126265
ITC4,1994,export,[C],C,All countries of the world,WORLD,47417170907
ITC4,1995,export,[C],C,All countries of the world,WORLD,58558385090
ITC4,1996,export,[C],C,All countries of the world,WORLD,59050698369
ITC4,1997,export,[C],C,All countries of the world,WORLD,60882092934
ITC4,1998,export,[C],C,All countries of the world,WORLD,62684824628
ITC4,1999,export,[C],C,All countries of the world,WORLD,62227176563
ITC4,2000,export,[C],C,All countries of the world,WORLD,72263751731
ITC4,2001,export,[C],C,All countries of the world,WORLD,76759832826
ITC4,2002,export,[C],C,All countries of the world,WORLD,74157904160
ITC4,2003,export,[C],C,All countries of the world,WORLD,73632171199
ITC4,2004,export,[C],C,All countries of the world,WORLD,77785248228
ITC4,2005,export,[C],C,All countries of the world,WORLD,83799384863
ITC4,2006,export,[C],C,All countries of the world,WORLD,91693990316
ITC4,2007,export,[C],C,All countries of the world,WORLD,100137750321
ITC4,2008,export,[C],C,All countries of the world,WORLD,101454274513
ITC4,2009,export,[C],C,All countries of the world,WORLD,80268804234
ITC4,2010,export,[C],C,All countries of the world,WORLD,91670469176
ITC4,2011,export,[C],C,All countries of the world,WORLD,101450293570
ITC4,2012,export,[C],C,All countries of the world,WORLD,105028440638
ITC4,2013,export,[C],C,All countries of the world,WORLD,105243889652
ITC4,2014,export,[C],C,All countries of the world,WORLD,106959270597
ITC4,2015,export,[C],C,All countries of the world,WORLD,108935067574
ITC4,2016,export,[C],C,All countries of the world,WORLD,109750433987
ITC4,2017,export,[C],C,All countries of the world,WORLD,118252781555
ITC4,2018,export,[C],C,All countries of the world,WORLD,124010992656
ITC4,2019,export,[C],C,All countries of the world,WORLD,123876972931
ITC4,2020,export,[C],C,All countries of the world,WORLD,111522845890
ITC4,2021,export,[C],C,All countries of the world,WORLD,133514047667
ITC4,2022,export,[C],C,All countries of the world,WORLD,157554904786
ITC4,2023,export,[C],C,All countries of the world,WORLD,158838389209
ITC4,2024,export,[C],C,All countries of the world,WORLD,159401028414
ITC4,2025,export,[C],C,All countries of the world,WORLD,162292984818
ITC4,1991,export,[D],D,All countries of the world,WORLD,249368
ITC4,1992,export,[D],D,All countries of the world,WORLD,45312
ITC4,1993,export,[D],D,All countries of the world,WORLD,649515
ITC4,1994,export,[D],D,All countries of the world,WORLD,49595
ITC4,1995,export,[D],D,All countries of the world,WORLD,1864220
ITC4,1996,export,[D],D,All countries of the world,WORLD,47426
ITC4,1997,export,[D],D,All countries of the world,WORLD,27783
ITC4,1999,export,[D],D,All countries of the world,WORLD,5974236
ITC4,2000,export,[D],D,All countries of the world,WORLD,12709922
ITC4,2001,export,[D],D,All countries of the world,WORLD,33940235
ITC4,2002,export,[D],D,All countries of the world,WORLD,10405031
ITC4,2003,export,[D],D,All countries of the world,WORLD,3102943
ITC4,2004,export,[D],D,All countries of the world,WORLD,3860080
ITC4,2005,export,[D],D,All countries of the world,WORLD,37861947
