codice_istat,comune,anno,comparto,segmento,ntn
017001,Acquafredda,2011,non_residenziale,agricolo,0.00
017001,Acquafredda,2011,non_residenziale,depositi_commerciali,1.12
017001,Acquafredda,2011,non_residenziale,negozi_laboratori,2.00
017001,Acquafredda,2011,non_residenziale,produttivo,1.06
017001,Acquafredda,2011,non_residenziale,tco_b04,0.00
017001,Acquafredda,2011,non_residenziale,tco_d02,0.00
017001,Acquafredda,2011,non_residenziale,tco_d05,0.00
017001,Acquafredda,2011,non_residenziale,tco_d08,0.00
017001,Acquafredda,2011,non_residenziale,uffici,0.00
017001,Acquafredda,2011,pertinenze,box,11.00
017001,Acquafredda,2011,pertinenze,depositi_pertinenziali,0.00
017001,Acquafredda,2011,residenziale,115-145 mq,5.00
017001,Acquafredda,2011,residenziale,50-85 mq,1.00
017001,Acquafredda,2011,residenziale,85-115 mq,2.00
017001,Acquafredda,2011,residenziale,fino a 50 mq,0.00
017001,Acquafredda,2011,residenziale,oltre 145 mq,4.00
017001,Acquafredda,2011,residenziale,totale,12.00
017001,Acquafredda,2012,non_residenziale,agricolo,0.00
017001,Acquafredda,2012,non_residenziale,depositi_commerciali,0.00
017001,Acquafredda,2012,non_residenziale,negozi_laboratori,0.00
017001,Acquafredda,2012,non_residenziale,produttivo,0.00
017001,Acquafredda,2012,non_residenziale,tco_b04,0.00
017001,Acquafredda,2012,non_residenziale,tco_d02,0.00
017001,Acquafredda,2012,non_residenziale,tco_d05,0.00
017001,Acquafredda,2012,non_residenziale,tco_d08,0.00
017001,Acquafredda,2012,non_residenziale,uffici,0.00
017001,Acquafredda,2012,pertinenze,box,2.39
017001,Acquafredda,2012,pertinenze,depositi_pertinenziali,0.00
017001,Acquafredda,2012,residenziale,115-145 mq,0.00
017001,Acquafredda,2012,residenziale,50-85 mq,0.00
017001,Acquafredda,2012,residenziale,85-115 mq,1.00
017001,Acquafredda,2012,residenziale,fino a 50 mq,0.00
017001,Acquafredda,2012,residenziale,oltre 145 mq,0.50
017001,Acquafredda,2012,residenziale,totale,1.50
017001,Acquafredda,2013,non_residenziale,agricolo,0.00
017001,Acquafredda,2013,non_residenziale,depositi_commerciali,1.06
017001,Acquafredda,2013,non_residenziale,negozi_laboratori,0.00
017001,Acquafredda,2013,non_residenziale,produttivo,1.03
017001,Acquafredda,2013,non_residenziale,tco_b04,0.00
017001,Acquafredda,2013,non_residenziale,tco_d02,0.00
017001,Acquafredda,2013,non_residenziale,tco_d05,0.00
017001,Acquafredda,2013,non_residenziale,tco_d08,0.00
017001,Acquafredda,2013,non_residenziale,uffici,1.00
017001,Acquafredda,2013,pertinenze,box,10.01
017001,Acquafredda,2013,pertinenze,depositi_pertinenziali,0.00
017001,Acquafredda,2013,residenziale,115-145 mq,5.00
017001,Acquafredda,2013,residenziale,50-85 mq,0.00
017001,Acquafredda,2013,residenziale,85-115 mq,0.17
017001,Acquafredda,2013,residenziale,fino a 50 mq,1.00
017001,Acquafredda,2013,residenziale,oltre 145 mq,2.84
017001,Acquafredda,2013,residenziale,totale,9.01
017001,Acquafredda,2014,non_residenziale,agricolo,0.00
017001,Acquafredda,2014,non_residenziale,depositi_commerciali,0.00
017001,Acquafredda,2014,non_residenziale,negozi_laboratori,0.00
017001,Acquafredda,2014,non_residenziale,produttivo,1.00
017001,Acquafredda,2014,non_residenziale,tco_b04,0.00
017001,Acquafredda,2014,non_residenziale,tco_d02,0.00
017001,Acquafredda,2014,non_residenziale,tco_d05,0.00
017001,Acquafredda,2014,non_residenziale,tco_d08,0.00
017001,Acquafredda,2014,non_residenziale,uffici,0.00
017001,Acquafredda,2014,pertinenze,box,1.00
017001,Acquafredda,2014,pertinenze,depositi_pertinenziali,0.00
017001,Acquafredda,2014,residenziale,115-145 mq,1.00
017001,Acquafredda,2014,residenziale,50-85 mq,0.00
017001,Acquafredda,2014,residenziale,85-115 mq,1.00
017001,Acquafredda,2014,residenziale,fino a 50 mq,0.00
017001,Acquafredda,2014,residenziale,oltre 145 mq,0.00
017001,Acquafredda,2014,residenziale,totale,2.00
017001,Acquafredda,2015,non_residenziale,agricolo,0.00
017001,Acquafredda,2015,non_residenziale,depositi_commerciali,0.23
017001,Acquafredda,2015,non_residenziale,negozi_laboratori,0.00
017001,Acquafredda,2015,non_residenziale,produttivo,0.03
017001,Acquafredda,2015,non_residenziale,tco_b04,0.00
017001,Acquafredda,2015,non_residenziale,tco_d02,0.00
017001,Acquafredda,2015,non_residenziale,tco_d05,0.00
017001,Acquafredda,2015,non_residenziale,tco_d08,0.00
017001,Acquafredda,2015,non_residenziale,uffici,0.00
017001,Acquafredda,2015,pertinenze,box,6.67
017001,Acquafredda,2015,pertinenze,depositi_pertinenziali,0.00
017001,Acquafredda,2015,residenziale,115-145 mq,2.17
017001,Acquafredda,2015,residenziale,50-85 mq,2.00
017001,Acquafredda,2015,residenziale,85-115 mq,4.00
017001,Acquafredda,2015,residenziale,fino a 50 mq,0.00
017001,Acquafredda,2015,residenziale,oltre 145 mq,1.84
017001,Acquafredda,2015,residenziale,totale,10.01
017001,Acquafredda,2016,non_residenziale,agricolo,0.00
017001,Acquafredda,2016,non_residenziale,depositi_commerciali,2.06
017001,Acquafredda,2016,non_residenziale,negozi_laboratori,0.75
017001,Acquafredda,2016,non_residenziale,produttivo,1.03
017001,Acquafredda,2016,non_residenziale,tco_b04,0.00
017001,Acquafredda,2016,non_residenziale,tco_d02,0.00
017001,Acquafredda,2016,non_residenziale,tco_d05,0.00
017001,Acquafredda,2016,non_residenziale,tco_d08,0.00
017001,Acquafredda,2016,non_residenziale,uffici,0.00
017001,Acquafredda,2016,pertinenze,box,2.50
017001,Acquafredda,2016,pertinenze,depositi_pertinenziali,0.00
017001,Acquafredda,2016,residenziale,115-145 mq,2.50
017001,Acquafredda,2016,residenziale,50-85 mq,0.00
017001,Acquafredda,2016,residenziale,85-115 mq,1.00
017001,Acquafredda,2016,residenziale,fino a 50 mq,0.00
017001,Acquafredda,2016,residenziale,oltre 145 mq,2.75
017001,Acquafredda,2016,residenziale,totale,6.25
017001,Acquafredda,2017,non_residenziale,agricolo,1.00
017001,Acquafredda,2017,non_residenziale,depositi_commerciali_autorimesse,0.00
017001,Acquafredda,2017,non_residenziale,negozi_laboratori,1.00
017001,Acquafredda,2017,non_residenziale,produttivo,2.00
017001,Acquafredda,2017,non_residenziale,tco_b04,0.00
017001,Acquafredda,2017,non_residenziale,tco_d02,0.00
017001,Acquafredda,2017,non_residenziale,tco_d05,0.00
017001,Acquafredda,2017,non_residenziale,tco_d08,0.00
017001,Acquafredda,2017,non_residenziale,uffici,0.00
017001,Acquafredda,2017,pertinenze,box,4.50
017001,Acquafredda,2017,pertinenze,depositi_pertinenziali,2.00
017001,Acquafredda,2017,residenziale,115-145 mq,2.00
017001,Acquafredda,2017,residenziale,50-85 mq,3.00
017001,Acquafredda,2017,residenziale,85-115 mq,1.00
017001,Acquafredda,2017,residenziale,fino a 50 mq,0.00
017001,Acquafredda,2017,residenziale,oltre 145 mq,1.50
017001,Acquafredda,2017,residenziale,totale,7.50
017001,Acquafredda,2018,non_residenziale,agricolo,1.00
017001,Acquafredda,2018,non_residenziale,depositi_commerciali_autorimesse,0.00
017001,Acquafredda,2018,non_residenziale,negozi_laboratori,1.00
017001,Acquafredda,2018,non_residenziale,produttivo,1.00
017001,Acquafredda,2018,non_residenziale,tco_b04,0.00
017001,Acquafredda,2018,non_residenziale,tco_d02,0.00
017001,Acquafredda,2018,non_residenziale,tco_d05,0.00
017001,Acquafredda,2018,non_residenziale,tco_d08,1.00
017001,Acquafredda,2018,non_residenziale,uffici,0.00
017001,Acquafredda,2018,pertinenze,box,3.50
017001,Acquafredda,2018,pertinenze,depositi_pertinenziali,0.00
017001,Acquafredda,2018,residenziale,115-145 mq,0.00
017001,Acquafredda,2018,residenziale,50-85 mq,2.00
017001,Acquafredda,2018,residenziale,85-115 mq,1.50
017001,Acquafredda,2018,residenziale,fino a 50 mq,0.00
017001,Acquafredda,2018,residenziale,oltre 145 mq,1.00
017001,Acquafredda,2018,residenziale,totale,4.50
017001,Acquafredda,2019,non_residenziale,agricolo,0.00
017001,Acquafredda,2019,non_residenziale,depositi_commerciali_autorimesse,3.00
017001,Acquafredda,2019,non_residenziale,negozi_laboratori,2.00
017001,Acquafredda,2019,non_residenziale,produttivo,0.00
017001,Acquafredda,2019,non_residenziale,tco_b04,0.00
017001,Acquafredda,2019,non_residenziale,tco_d02,0.00
017001,Acquafredda,2019,non_residenziale,tco_d05,0.00
017001,Acquafredda,2019,non_residenziale,tco_d08,0.00
017001,Acquafredda,2019,non_residenziale,uffici,3.00
017001,Acquafredda,2019,pertinenze,box,13.30
017001,Acquafredda,2019,pertinenze,depositi_pertinenziali,0.00
