codice_provincia,provincia,regione,ambito,anno,trimestre,comparto,segmento,ntn,stato
001,Torino,Piemonte,capoluogo,2011,1,pertinenze,box,1180.93,definitivo
001,Torino,Piemonte,capoluogo,2011,1,pertinenze,depositi_pertinenziali,86.52,definitivo
001,Torino,Piemonte,capoluogo,2011,1,residenziale,totale,2806.28,definitivo
001,Torino,Piemonte,capoluogo,2011,2,pertinenze,box,1427.82,definitivo
001,Torino,Piemonte,capoluogo,2011,2,pertinenze,depositi_pertinenziali,120.57,definitivo
001,Torino,Piemonte,capoluogo,2011,2,residenziale,totale,3307.32,definitivo
001,Torino,Piemonte,capoluogo,2011,3,pertinenze,box,951.28,definitivo
001,Torino,Piemonte,capoluogo,2011,3,pertinenze,depositi_pertinenziali,95.18,definitivo
001,Torino,Piemonte,capoluogo,2011,3,residenziale,totale,2406.35,definitivo
001,Torino,Piemonte,capoluogo,2011,4,pertinenze,box,1609.88,definitivo
001,Torino,Piemonte,capoluogo,2011,4,pertinenze,depositi_pertinenziali,186.70,definitivo
001,Torino,Piemonte,capoluogo,2011,4,residenziale,totale,3493.32,definitivo
001,Torino,Piemonte,capoluogo,2012,1,pertinenze,box,1230.43,definitivo
001,Torino,Piemonte,capoluogo,2012,1,pertinenze,depositi_pertinenziali,100.50,definitivo
001,Torino,Piemonte,capoluogo,2012,1,residenziale,totale,2301.29,definitivo
001,Torino,Piemonte,capoluogo,2012,2,pertinenze,box,1161.43,definitivo
001,Torino,Piemonte,capoluogo,2012,2,pertinenze,depositi_pertinenziali,112.86,definitivo
001,Torino,Piemonte,capoluogo,2012,2,residenziale,totale,2610.63,definitivo
001,Torino,Piemonte,capoluogo,2012,3,pertinenze,box,871.17,definitivo
001,Torino,Piemonte,capoluogo,2012,3,pertinenze,depositi_pertinenziali,78.21,definitivo
001,Torino,Piemonte,capoluogo,2012,3,residenziale,totale,2032.90,definitivo
001,Torino,Piemonte,capoluogo,2012,4,pertinenze,box,1172.31,definitivo
001,Torino,Piemonte,capoluogo,2012,4,pertinenze,depositi_pertinenziali,157.94,definitivo
001,Torino,Piemonte,capoluogo,2012,4,residenziale,totale,2398.83,definitivo
001,Torino,Piemonte,capoluogo,2013,1,pertinenze,box,919.29,definitivo
001,Torino,Piemonte,capoluogo,2013,1,pertinenze,depositi_pertinenziali,81.25,definitivo
001,Torino,Piemonte,capoluogo,2013,1,residenziale,totale,2065.90,definitivo
001,Torino,Piemonte,capoluogo,2013,2,pertinenze,box,1466.59,definitivo
001,Torino,Piemonte,capoluogo,2013,2,pertinenze,depositi_pertinenziali,127.34,definitivo
001,Torino,Piemonte,capoluogo,2013,2,residenziale,totale,2488.45,definitivo
001,Torino,Piemonte,capoluogo,2013,3,pertinenze,box,895.10,definitivo
001,Torino,Piemonte,capoluogo,2013,3,pertinenze,depositi_pertinenziali,107.50,definitivo
001,Torino,Piemonte,capoluogo,2013,3,residenziale,totale,1944.06,definitivo
001,Torino,Piemonte,capoluogo,2013,4,pertinenze,box,1191.20,definitivo
001,Torino,Piemonte,capoluogo,2013,4,pertinenze,depositi_pertinenziali,145.16,definitivo
001,Torino,Piemonte,capoluogo,2013,4,residenziale,totale,2076.99,definitivo
001,Torino,Piemonte,capoluogo,2014,1,pertinenze,box,937.48,definitivo
001,Torino,Piemonte,capoluogo,2014,1,pertinenze,depositi_pertinenziali,99.17,definitivo
001,Torino,Piemonte,capoluogo,2014,1,residenziale,totale,2290.62,definitivo
001,Torino,Piemonte,capoluogo,2014,2,pertinenze,box,1042.62,definitivo
001,Torino,Piemonte,capoluogo,2014,2,pertinenze,depositi_pertinenziali,116.28,definitivo
001,Torino,Piemonte,capoluogo,2014,2,residenziale,totale,2354.95,definitivo
001,Torino,Piemonte,capoluogo,2014,3,pertinenze,box,692.57,definitivo
001,Torino,Piemonte,capoluogo,2014,3,pertinenze,depositi_pertinenziali,86.39,definitivo
001,Torino,Piemonte,capoluogo,2014,3,residenziale,totale,1960.76,definitivo
001,Torino,Piemonte,capoluogo,2014,4,pertinenze,box,1113.01,definitivo
001,Torino,Piemonte,capoluogo,2014,4,pertinenze,depositi_pertinenziali,113.92,definitivo
001,Torino,Piemonte,capoluogo,2014,4,residenziale,totale,2451.00,definitivo
001,Torino,Piemonte,capoluogo,2015,1,pertinenze,box,906.35,definitivo
001,Torino,Piemonte,capoluogo,2015,1,pertinenze,depositi_pertinenziali,108.32,definitivo
001,Torino,Piemonte,capoluogo,2015,1,residenziale,totale,2070.77,definitivo
001,Torino,Piemonte,capoluogo,2015,2,pertinenze,box,1144.44,definitivo
