codice_istat,comune,sigla_provincia,capoluogo,codice_catastale
017001,Acquafredda,BS,0,A034
017002,Adro,BS,0,A060
017003,Agnosine,BS,0,A082
017004,Alfianello,BS,0,A188
017005,Anfo,BS,0,A288
017006,Angolo Terme,BS,0,A293
017007,Artogne,BS,0,A451
017008,Azzano Mella,BS,0,A529
017009,Bagnolo Mella,BS,0,A569
017010,Bagolino,BS,0,A578
017011,Barbariga,BS,0,A630
017012,Barghe,BS,0,A661
017013,Bassano Bresciano,BS,0,A702
017014,Bedizzole,BS,0,A729
017015,Berlingo,BS,0,A799
017016,Berzo Demo,BS,0,A816
017017,Berzo Inferiore,BS,0,A817
017018,Bienno,BS,0,A861
017019,Bione,BS,0,A878
017020,Borgo San Giacomo,BS,0,B035
017021,Borgosatollo,BS,0,B040
017022,Borno,BS,0,B054
017023,Botticino,BS,0,B091
017024,Bovegno,BS,0,B100
017025,Bovezzo,BS,0,B102
017026,Brandico,BS,0,B120
017027,Braone,BS,0,B124
017028,Breno,BS,0,B149
017029,Brescia,BS,1,B157
017030,Brione,BS,0,B184
017031,Caino,BS,0,B365
017032,Calcinato,BS,0,B394
017033,Calvagese della Riviera,BS,0,B436
017034,Calvisano,BS,0,B450
017035,Capo di Ponte,BS,0,B664
017036,Capovalle,BS,0,B676
017037,Capriano del Colle,BS,0,B698
017038,Capriolo,BS,0,B711
017039,Carpenedolo,BS,0,B817
017040,Castegnato,BS,0,C055
017041,Castelcovati,BS,0,C072
017042,Castel Mella,BS,0,C208
017043,Castenedolo,BS,0,C293
017044,Casto,BS,0,C330
017045,Castrezzato,BS,0,C332
017046,Cazzago San Martino,BS,0,C408
017047,Cedegolo,BS,0,C417
017048,Cellatica,BS,0,C439
017049,Cerveno,BS,0,C549
017050,Ceto,BS,0,C585
017051,Cevo,BS,0,C591
017052,Chiari,BS,0,C618
017053,Cigole,BS,0,C685
017054,Cimbergo,BS,0,C691
017055,Cividate Camuno,BS,0,C760
017056,Coccaglio,BS,0,C806
017057,Collebeato,BS,0,C850
017058,Collio,BS,0,C883
017059,Cologne,BS,0,C893
017060,Comezzano-Cizzago,BS,0,C925
017061,Concesio,BS,0,C948
017062,Corte Franca,BS,0,D058
017063,Corteno Golgi,BS,0,D064
017064,Corzano,BS,0,D082
017065,Darfo Boario Terme,BS,0,D251
017066,Dello,BS,0,D270
017067,Desenzano del Garda,BS,0,D284
017068,Edolo,BS,0,D391
017069,Erbusco,BS,0,D421
017070,Esine,BS,0,D434
017071,Fiesse,BS,0,D576
017072,Flero,BS,0,D634
017073,Gambara,BS,0,D891
017074,Gardone Riviera,BS,0,D917
017075,Gardone Val Trompia,BS,0,D918
017076,Gargnano,BS,0,D924
017077,Gavardo,BS,0,D940
017078,Ghedi,BS,0,D999
017079,Gianico,BS,0,E010
017080,Gottolengo,BS,0,E116
017081,Gussago,BS,0,E271
017082,Idro,BS,0,E280
017083,Incudine,BS,0,E297
017084,Irma,BS,0,E325
017085,Iseo,BS,0,E333
017086,Isorella,BS,0,E364
017087,Lavenone,BS,0,E497
017088,Leno,BS,0,E526
017089,Limone sul Garda,BS,0,E596
017090,Lodrino,BS,0,E652
017091,Lograto,BS,0,E654
017092,Lonato del Garda,BS,0,M312
017093,Longhena,BS,0,E673
017094,Losine,BS,0,E698
017095,Lozio,BS,0,E706
017096,Lumezzane,BS,0,E738
017097,Maclodio,BS,0,E787
017098,Magasa,BS,0,E800
017099,Mairano,BS,0,E841
017100,Malegno,BS,0,E851
017101,Malonno,BS,0,E865
017102,Manerba del Garda,BS,0,E883
017103,Manerbio,BS,0,E884
017104,Marcheno,BS,0,E928
017105,Marmentino,BS,0,E961
017106,Marone,BS,0,E967
017107,Mazzano,BS,0,F063
017108,Milzano,BS,0,F216
017109,Moniga del Garda,BS,0,F373
017110,Monno,BS,0,F375
017111,Monte Isola,BS,0,F532
017112,Monticelli Brusati,BS,0,F672
017113,Montichiari,BS,0,F471
017114,Montirone,BS,0,F680
017115,Mura,BS,0,F806
