codice_istat,comune,area_kmq,centroide_lon,centroide_lat
017001,Acquafredda,9.526,10.40838,45.30645
017002,Adro,14.247,9.96551,45.61971
017003,Agnosine,13.334,10.34974,45.64262
017004,Alfianello,13.847,10.14989,45.26658
017005,Anfo,23.933,10.48167,45.78449
017006,Angolo Terme,30.717,10.13236,45.90680
017007,Artogne,20.938,10.19691,45.83900
017008,Azzano Mella,10.362,10.11310,45.46412
017009,Bagnolo Mella,31.355,10.18349,45.42166
017010,Bagolino,108.836,10.45395,45.85551
017011,Barbariga,11.404,10.04611,45.40688
017012,Barghe,5.456,10.40681,45.68180
017013,Bassano Bresciano,9.416,10.12832,45.32440
017014,Bedizzole,26.328,10.42073,45.50003
017015,Berlingo,4.653,10.03370,45.50609
017016,Berzo Demo,15.363,10.34299,46.10292
017017,Berzo Inferiore,21.966,10.29563,45.89731
017018,Bienno,46.750,10.35359,45.90291
017019,Bione,17.312,10.33799,45.67512
017020,Borgo San Giacomo,29.387,9.97887,45.34597
017021,Borgosatollo,8.332,10.23963,45.47863
017022,Borno,30.280,10.17908,45.95559
017023,Botticino,18.332,10.31399,45.55052
017024,Bovegno,48.039,10.27638,45.81360
017025,Bovezzo,6.435,10.24983,45.60100
017026,Brandico,8.318,10.04329,45.45415
017027,Braone,13.315,10.38642,45.97311
017028,Breno,59.898,10.40356,45.93973
017029,Brescia,90.401,10.22584,45.53246
017030,Brione,6.806,10.15398,45.64398
017031,Caino,17.549,10.32514,45.61721
017032,Calcinato,33.205,10.40284,45.45820
017033,Calvagese della Riviera,11.783,10.45746,45.52870
017034,Calvisano,44.611,10.35020,45.35256
017035,Capo di Ponte,18.137,10.31174,46.04504
017036,Capovalle,23.073,10.53858,45.74535
017037,Capriano del Colle,13.760,10.13758,45.45219
017038,Capriolo,10.578,9.93251,45.63535
017039,Carpenedolo,30.102,10.43520,45.34923
017040,Castegnato,9.227,10.11306,45.55781
017041,Castelcovati,6.324,9.94523,45.49723
017042,Castel Mella,7.586,10.14331,45.50005
017043,Castenedolo,26.107,10.29512,45.46735
017044,Casto,21.312,10.29932,45.68985
