codice_istat,comune,capoluogo,popolazione_2024,unita_locali_2023,addetti_2023,addetti_per_100_abitanti,presenze_turistiche_2024
017001,Acquafredda,0,1545,130,432.7,28.0,
017002,Adro,0,7146,668,3550.5,49.7,20157
017003,Agnosine,0,1639,168,715.6,43.7,
017004,Alfianello,0,2304,165,738.7,32.1,
017005,Anfo,0,436,38,66.1,15.2,70787
017006,Angolo Terme,0,2338,140,272.9,11.7,6942
017007,Artogne,0,3671,301,1230.8,33.5,3317
017008,Azzano Mella,0,3507,248,1122.0,32.0,
017009,Bagnolo Mella,0,12471,888,3021.5,24.2,1125
017010,Bagolino,0,3764,313,812.2,21.6,41536
017011,Barbariga,0,2300,146,512.3,22.3,
017012,Barghe,0,1157,74,309.4,26.7,
017013,Bassano Bresciano,0,2367,193,664.0,28.1,
017014,Bedizzole,0,12172,1083,4706.4,38.7,20264
017015,Berlingo,0,2740,236,1003.9,36.6,
017016,Berzo Demo,0,1459,121,426.4,29.2,457
017017,Berzo Inferiore,0,2473,227,909.7,36.8,
017018,Bienno,0,3760,313,953.9,25.4,3889
017019,Bione,0,1286,99,743.4,57.8,
017020,Borgo San Giacomo,0,5577,352,1156.0,20.7,1765
017021,Borgosatollo,0,9092,776,2719.8,29.9,
017022,Borno,0,2422,232,544.3,22.5,38299
017023,Botticino,0,10772,853,2063.8,19.2,320
017024,Bovegno,0,2005,142,296.1,14.8,1708
017025,Bovezzo,0,7309,511,1804.2,24.7,
017026,Brandico,0,1757,103,619.3,35.2,
017027,Braone,0,686,64,160.5,23.4,
017028,Breno,0,4647,599,2211.1,47.6,16411
017029,Brescia,1,199853,26287,100939.2,50.5,883531
017030,Brione,0,754,45,99.1,13.1,884
017031,Caino,0,2192,113,507.1,23.1,
017032,Calcinato,0,13028,1138,5534.3,42.5,18941
017033,Calvagese della Riviera,0,3699,335,1112.8,30.1,27163
017034,Calvisano,0,8435,617,2634.7,31.2,3081
017035,Capo di Ponte,0,2287,167,388.3,17.0,5256
017036,Capovalle,0,341,31,43.6,12.8,839
017037,Capriano del Colle,0,4844,392,1678.6,34.7,
017038,Capriolo,0,9390,950,4037.8,43.0,21500
017039,Carpenedolo,0,12968,1000,4160.0,32.1,182
017040,Castegnato,0,8392,778,4232.4,50.4,
017041,Castelcovati,0,7059,417,1341.0,19.0,
017042,Castel Mella,0,10953,813,3182.5,29.1,
017043,Castenedolo,0,11687,1099,5561.6,47.6,70779
017044,Casto,0,1616,146,1009.4,62.5,2451
017045,Castrezzato,0,7836,523,1661.0,21.2,7815
017046,Cazzago San Martino,0,10787,877,4346.8,40.3,36215
017047,Cedegolo,0,1124,104,331.8,29.5,574
