codice_istat,comune,anno,tavola,indicatore,num_memb,num_fr_menb,valore
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,16
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,16
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,2
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,6
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,8
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,5
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,2,1
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,10
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,16
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,2
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,2,3
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,3,3
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,4 e più,21
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,totale,29
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,1,25
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,2,10
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,3,13
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,4 e più,21
017001,Acquafredda,2020,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,totale,totale,69
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,1,18
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,1,totale,18
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,1,1
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,2,5
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,2,totale,6
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,1,5
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,2,1
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,3,7
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,3,totale,13
017001,Acquafredda,2021,almeno_uno_straniero,famiglie con almeno uno straniero residente al 31 dicembre,4 e più,1,4
