codice_istat,comune,anno,classe_addetti,indicatore,valore
017001,Acquafredda,2018,0-9,addetti,248.5
017001,Acquafredda,2018,10-49,addetti,179.7
017001,Acquafredda,2018,totale,addetti,428.2
017001,Acquafredda,2019,0-9,addetti,240.7
017001,Acquafredda,2019,10-49,addetti,167.0
017001,Acquafredda,2019,totale,addetti,407.7
017001,Acquafredda,2020,0-9,addetti,227.7
017001,Acquafredda,2020,10-49,addetti,173.9
017001,Acquafredda,2020,totale,addetti,401.6
017001,Acquafredda,2021,0-9,addetti,257.8
017001,Acquafredda,2021,10-49,addetti,166.9
017001,Acquafredda,2021,totale,addetti,424.6
017001,Acquafredda,2022,0-9,addetti,248.5
017001,Acquafredda,2022,10-49,addetti,178.3
017001,Acquafredda,2022,totale,addetti,426.8
017001,Acquafredda,2023,0-9,addetti,238.9
017001,Acquafredda,2023,10-49,addetti,193.8
017001,Acquafredda,2023,totale,addetti,432.7
017001,Acquafredda,2018,0-9,unita_locali,110
017001,Acquafredda,2018,10-49,unita_locali,11
017001,Acquafredda,2018,totale,unita_locali,121
017001,Acquafredda,2019,0-9,unita_locali,111
017001,Acquafredda,2019,10-49,unita_locali,10
017001,Acquafredda,2019,totale,unita_locali,121
017001,Acquafredda,2020,0-9,unita_locali,113
017001,Acquafredda,2020,10-49,unita_locali,11
017001,Acquafredda,2020,totale,unita_locali,124
017001,Acquafredda,2021,0-9,unita_locali,122
017001,Acquafredda,2021,10-49,unita_locali,10
017001,Acquafredda,2021,totale,unita_locali,132
017001,Acquafredda,2022,0-9,unita_locali,125
017001,Acquafredda,2022,10-49,unita_locali,11
017001,Acquafredda,2022,totale,unita_locali,136
017001,Acquafredda,2023,0-9,unita_locali,117
017001,Acquafredda,2023,10-49,unita_locali,13
017001,Acquafredda,2023,totale,unita_locali,130
017002,Adro,2018,0-9,addetti,1098.4
017002,Adro,2018,10-49,addetti,854.1
017002,Adro,2018,250+,addetti,317.4
017002,Adro,2018,50-249,addetti,848.5
017002,Adro,2018,totale,addetti,3118.4
017002,Adro,2019,0-9,addetti,1069.2
017002,Adro,2019,10-49,addetti,894.4
017002,Adro,2019,250+,addetti,337.0
017002,Adro,2019,50-249,addetti,870.4
017002,Adro,2019,totale,addetti,3171.1
017002,Adro,2020,0-9,addetti,1063.5
017002,Adro,2020,10-49,addetti,984.2
017002,Adro,2020,250+,addetti,334.6
017002,Adro,2020,50-249,addetti,760.7
017002,Adro,2020,totale,addetti,3143.0
017002,Adro,2021,0-9,addetti,1085.5
017002,Adro,2021,10-49,addetti,965.7
017002,Adro,2021,250+,addetti,347.0
017002,Adro,2021,50-249,addetti,800.2
017002,Adro,2021,totale,addetti,3198.5
017002,Adro,2022,0-9,addetti,1157.5
017002,Adro,2022,10-49,addetti,1013.0
