territorio,nome_territorio,anno,ateco,settore,indicatore,valore
017029,Brescia,2018,08,other mining and quarrying,addetti,42.4
017029,Brescia,2018,10,manufacture of food products,addetti,818.3
017029,Brescia,2018,11,manufacture of beverages,addetti,15.0
017029,Brescia,2018,13,manufacture of textiles,addetti,128.2
017029,Brescia,2018,14,manufacture of wearing apparel,addetti,366.0
017029,Brescia,2018,15,manufacture of leather and related products,addetti,9.6
017029,Brescia,2018,16,"manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",addetti,64.5
017029,Brescia,2018,17,manufacture of paper and paper products,addetti,30.0
017029,Brescia,2018,18,printing and reproduction of recorded media,addetti,281.1
017029,Brescia,2018,19,manufacture of coke and refined petroleum products,addetti,17.0
017029,Brescia,2018,20,manufacture of chemicals and chemical products,addetti,542.8
017029,Brescia,2018,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,addetti,205.8
017029,Brescia,2018,22,manufacture of rubber and plastic products,addetti,341.1
017029,Brescia,2018,23,manufacture of other non-metallic mineral products,addetti,162.0
017029,Brescia,2018,24,manufacture of basic metals,addetti,1792.8
017029,Brescia,2018,25,"manufacture of fabricated metal products, except machinery and equipment",addetti,1910.2
017029,Brescia,2018,26,"manufacture of computer, electronic and optical products",addetti,141.3
017029,Brescia,2018,27,manufacture of electrical equipment and of non-electric domestic appliances,addetti,767.4
017029,Brescia,2018,28,manufacture of machinery and equipment n.e.c.,addetti,2856.3
017029,Brescia,2018,29,"manufacture of motor vehicles, trailers and semi-trailers",addetti,2129.0
017029,Brescia,2018,30,manufacture of other transport equipment,addetti,27.1
017029,Brescia,2018,31,manufacture of furniture,addetti,123.4
017029,Brescia,2018,32,other manufacturing,addetti,362.8
017029,Brescia,2018,33,repair and installation of machinery and equipment,addetti,769.5
017029,Brescia,2018,35,"electricity, gas, steam and air conditioning supply",addetti,1134.4
017029,Brescia,2018,36,"water collection, treatment and supply",addetti,175.3
017029,Brescia,2018,37,sewerage,addetti,11.0
017029,Brescia,2018,38,"waste collection, treatment and disposal activities, materials recovery",addetti,1297.3
017029,Brescia,2018,39,remediation activities and other waste management services,addetti,28.9
017029,Brescia,2018,41,construction of buildings,addetti,869.1
017029,Brescia,2018,42,civil engineering,addetti,201.0
017029,Brescia,2018,43,specialised construction activities,addetti,2581.9
017029,Brescia,2018,45,wholesale and retail trade and repair of motor vehicles and motorcycles,addetti,2146.5
017029,Brescia,2018,46,"wholesale trade, except of motor vehicles and motorcycles",addetti,6384.4
017029,Brescia,2018,47,"retail trade, except of motor vehicles and motorcycles",addetti,7573.6
017029,Brescia,2018,49,land transport and transport via pipelines,addetti,2387.7
017029,Brescia,2018,50,water transport,addetti,0.0
017029,Brescia,2018,51,air transport,addetti,0.1
017029,Brescia,2018,52,warehousing and support activities for transportation,addetti,2210.0
017029,Brescia,2018,53,postal and courier activities,addetti,810.0
017029,Brescia,2018,55,accommodation,addetti,452.1
017029,Brescia,2018,56,food service activities,addetti,6291.8
017029,Brescia,2018,58,publishing activities,addetti,249.3
017029,Brescia,2018,59,"motion picture, video and television programme production, sound recording and music publishing activities",addetti,130.0
017029,Brescia,2018,60,programming and broadcasting activities,addetti,27.6
017029,Brescia,2018,61,telecommunications,addetti,555.0
017029,Brescia,2018,62,"computer programming, consultancy and related activities",addetti,1938.1
017029,Brescia,2018,63,information service activities,addetti,1066.5
017029,Brescia,2018,64,"financial service activities, except insurance and pension funding",addetti,3640.3
017029,Brescia,2018,65,"insurance, reinsurance and pension funding, except compulsory social security",addetti,144.7
017029,Brescia,2018,66,activities auxiliary to financial services and insurance activities,addetti,1428.3
017029,Brescia,2018,68,real estate activities,addetti,2148.5
017029,Brescia,2018,69,legal and accounting activities,addetti,5539.4
017029,Brescia,2018,70,"activities of head offices, management consultancy activities",addetti,1352.0
017029,Brescia,2018,71,"architectural and engineering activities, technical testing and analysis",addetti,1643.5
017029,Brescia,2018,72,scientific research and development,addetti,134.4
017029,Brescia,2018,73,advertising and market research,addetti,303.5
017029,Brescia,2018,74,"other professional, scientific and technical activities",addetti,1435.6
017029,Brescia,2018,75,veterinary activities,addetti,63.5
017029,Brescia,2018,77,rental and leasing activities,addetti,184.4
017029,Brescia,2018,78,employment activities,addetti,8895.4
017029,Brescia,2018,79,"travel agency, tour operator and other reservation service and related activities",addetti,273.8
017029,Brescia,2018,80,security and investigation activities,addetti,982.7
017029,Brescia,2018,81,services to buildings and landscape activities,addetti,6096.8
017029,Brescia,2018,82,"office administrative, office support and other business support activities",addetti,2691.4
017029,Brescia,2018,85,education,addetti,1048.1
017029,Brescia,2018,86,human health activities,addetti,4236.1
017029,Brescia,2018,87,residential care activities,addetti,368.9
017029,Brescia,2018,88,social work activities without accommodation,addetti,2015.5
017029,Brescia,2018,90,"creative, arts and entertainment activities",addetti,371.1
017029,Brescia,2018,91,"libraries, archives, museums and other cultural activities",addetti,201.1
017029,Brescia,2018,92,gambling and betting activities,addetti,100.3
017029,Brescia,2018,93,sports activities and amusement and recreation activities,addetti,364.5
017029,Brescia,2018,95,repair of computers and personal and household goods,addetti,305.7
017029,Brescia,2018,96,other personal service activities,addetti,2741.3
017029,Brescia,2019,08,other mining and quarrying,addetti,33.3
017029,Brescia,2019,10,manufacture of food products,addetti,719.0
017029,Brescia,2019,11,manufacture of beverages,addetti,15.8
017029,Brescia,2019,13,manufacture of textiles,addetti,162.3
017029,Brescia,2019,14,manufacture of wearing apparel,addetti,371.8
017029,Brescia,2019,15,manufacture of leather and related products,addetti,11.5
017029,Brescia,2019,16,"manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",addetti,67.4
017029,Brescia,2019,17,manufacture of paper and paper products,addetti,30.3
017029,Brescia,2019,18,printing and reproduction of recorded media,addetti,291.9
017029,Brescia,2019,19,manufacture of coke and refined petroleum products,addetti,16.0
017029,Brescia,2019,20,manufacture of chemicals and chemical products,addetti,571.9
017029,Brescia,2019,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,addetti,215.2
017029,Brescia,2019,22,manufacture of rubber and plastic products,addetti,274.5
017029,Brescia,2019,23,manufacture of other non-metallic mineral products,addetti,184.1
017029,Brescia,2019,24,manufacture of basic metals,addetti,1742.3
017029,Brescia,2019,25,"manufacture of fabricated metal products, except machinery and equipment",addetti,1754.5
017029,Brescia,2019,26,"manufacture of computer, electronic and optical products",addetti,149.4
017029,Brescia,2019,27,manufacture of electrical equipment and of non-electric domestic appliances,addetti,758.2
017029,Brescia,2019,28,manufacture of machinery and equipment n.e.c.,addetti,2996.2
017029,Brescia,2019,29,"manufacture of motor vehicles, trailers and semi-trailers",addetti,2206.0
017029,Brescia,2019,30,manufacture of other transport equipment,addetti,20.5
017029,Brescia,2019,31,manufacture of furniture,addetti,92.1
017029,Brescia,2019,32,other manufacturing,addetti,409.2
017029,Brescia,2019,33,repair and installation of machinery and equipment,addetti,763.8
017029,Brescia,2019,35,"electricity, gas, steam and air conditioning supply",addetti,1177.7
017029,Brescia,2019,36,"water collection, treatment and supply",addetti,188.1
017029,Brescia,2019,37,sewerage,addetti,16.4
017029,Brescia,2019,38,"waste collection, treatment and disposal activities, materials recovery",addetti,1200.3
017029,Brescia,2019,39,remediation activities and other waste management services,addetti,23.9
017029,Brescia,2019,41,construction of buildings,addetti,1109.2
017029,Brescia,2019,42,civil engineering,addetti,219.3
017029,Brescia,2019,43,specialised construction activities,addetti,2687.6
017029,Brescia,2019,45,wholesale and retail trade and repair of motor vehicles and motorcycles,addetti,2151.2
017029,Brescia,2019,46,"wholesale trade, except of motor vehicles and motorcycles",addetti,6574.6
017029,Brescia,2019,47,"retail trade, except of motor vehicles and motorcycles",addetti,7380.1
017029,Brescia,2019,49,land transport and transport via pipelines,addetti,2503.8
017029,Brescia,2019,50,water transport,addetti,0.0
017029,Brescia,2019,51,air transport,addetti,116.3
017029,Brescia,2019,52,warehousing and support activities for transportation,addetti,2183.6
017029,Brescia,2019,53,postal and courier activities,addetti,736.6
017029,Brescia,2019,55,accommodation,addetti,452.1
017029,Brescia,2019,56,food service activities,addetti,6604.4
017029,Brescia,2019,58,publishing activities,addetti,219.4
017029,Brescia,2019,59,"motion picture, video and television programme production, sound recording and music publishing activities",addetti,145.5
017029,Brescia,2019,60,programming and broadcasting activities,addetti,27.4
017029,Brescia,2019,61,telecommunications,addetti,564.2
017029,Brescia,2019,62,"computer programming, consultancy and related activities",addetti,2281.1
017029,Brescia,2019,63,information service activities,addetti,1171.2
017029,Brescia,2019,64,"financial service activities, except insurance and pension funding",addetti,3614.4
017029,Brescia,2019,65,"insurance, reinsurance and pension funding, except compulsory social security",addetti,137.2
017029,Brescia,2019,66,activities auxiliary to financial services and insurance activities,addetti,1423.5
017029,Brescia,2019,68,real estate activities,addetti,2264.5
017029,Brescia,2019,69,legal and accounting activities,addetti,5278.6
017029,Brescia,2019,70,"activities of head offices, management consultancy activities",addetti,1376.1
017029,Brescia,2019,71,"architectural and engineering activities, technical testing and analysis",addetti,1556.7
017029,Brescia,2019,72,scientific research and development,addetti,112.4
017029,Brescia,2019,73,advertising and market research,addetti,267.1
017029,Brescia,2019,74,"other professional, scientific and technical activities",addetti,1513.3
017029,Brescia,2019,75,veterinary activities,addetti,59.8
017029,Brescia,2019,77,rental and leasing activities,addetti,213.6
017029,Brescia,2019,78,employment activities,addetti,8686.2
017029,Brescia,2019,79,"travel agency, tour operator and other reservation service and related activities",addetti,254.5
017029,Brescia,2019,80,security and investigation activities,addetti,1542.8
017029,Brescia,2019,81,services to buildings and landscape activities,addetti,5439.6
017029,Brescia,2019,82,"office administrative, office support and other business support activities",addetti,2292.3
017029,Brescia,2019,85,education,addetti,1117.2
017029,Brescia,2019,86,human health activities,addetti,3990.6
017029,Brescia,2019,87,residential care activities,addetti,348.4
017029,Brescia,2019,88,social work activities without accommodation,addetti,1923.8
017029,Brescia,2019,90,"creative, arts and entertainment activities",addetti,362.1
017029,Brescia,2019,91,"libraries, archives, museums and other cultural activities",addetti,214.8
017029,Brescia,2019,92,gambling and betting activities,addetti,92.2
017029,Brescia,2019,93,sports activities and amusement and recreation activities,addetti,366.7
017029,Brescia,2019,95,repair of computers and personal and household goods,addetti,283.6
017029,Brescia,2019,96,other personal service activities,addetti,2793.2
017029,Brescia,2020,08,other mining and quarrying,addetti,24.6
017029,Brescia,2020,09,mining support service activities,addetti,0.0
017029,Brescia,2020,10,manufacture of food products,addetti,687.7
017029,Brescia,2020,11,manufacture of beverages,addetti,21.4
017029,Brescia,2020,13,manufacture of textiles,addetti,103.7
017029,Brescia,2020,14,manufacture of wearing apparel,addetti,329.6
017029,Brescia,2020,15,manufacture of leather and related products,addetti,15.7
017029,Brescia,2020,16,"manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",addetti,60.1
017029,Brescia,2020,17,manufacture of paper and paper products,addetti,29.4
017029,Brescia,2020,18,printing and reproduction of recorded media,addetti,239.3
017029,Brescia,2020,19,manufacture of coke and refined petroleum products,addetti,37.0
017029,Brescia,2020,20,manufacture of chemicals and chemical products,addetti,583.4
017029,Brescia,2020,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,addetti,253.0
017029,Brescia,2020,22,manufacture of rubber and plastic products,addetti,260.5
017029,Brescia,2020,23,manufacture of other non-metallic mineral products,addetti,167.7
017029,Brescia,2020,24,manufacture of basic metals,addetti,1724.7
017029,Brescia,2020,25,"manufacture of fabricated metal products, except machinery and equipment",addetti,1737.4
017029,Brescia,2020,26,"manufacture of computer, electronic and optical products",addetti,170.7
017029,Brescia,2020,27,manufacture of electrical equipment and of non-electric domestic appliances,addetti,760.7
017029,Brescia,2020,28,manufacture of machinery and equipment n.e.c.,addetti,2775.7
017029,Brescia,2020,29,"manufacture of motor vehicles, trailers and semi-trailers",addetti,1935.0
017029,Brescia,2020,30,manufacture of other transport equipment,addetti,29.2
017029,Brescia,2020,31,manufacture of furniture,addetti,81.8
017029,Brescia,2020,32,other manufacturing,addetti,356.6
017029,Brescia,2020,33,repair and installation of machinery and equipment,addetti,687.7
017029,Brescia,2020,35,"electricity, gas, steam and air conditioning supply",addetti,1150.1
017029,Brescia,2020,36,"water collection, treatment and supply",addetti,176.3
017029,Brescia,2020,37,sewerage,addetti,12.6
017029,Brescia,2020,38,"waste collection, treatment and disposal activities, materials recovery",addetti,1218.0
017029,Brescia,2020,39,remediation activities and other waste management services,addetti,17.5
017029,Brescia,2020,41,construction of buildings,addetti,1565.5
017029,Brescia,2020,42,civil engineering,addetti,374.4
017029,Brescia,2020,43,specialised construction activities,addetti,2472.4
017029,Brescia,2020,45,wholesale and retail trade and repair of motor vehicles and motorcycles,addetti,2126.2
017029,Brescia,2020,46,"wholesale trade, except of motor vehicles and motorcycles",addetti,6352.6
017029,Brescia,2020,47,"retail trade, except of motor vehicles and motorcycles",addetti,7432.9
017029,Brescia,2020,49,land transport and transport via pipelines,addetti,2279.9
017029,Brescia,2020,50,water transport,addetti,1.0
017029,Brescia,2020,51,air transport,addetti,58.9
017029,Brescia,2020,52,warehousing and support activities for transportation,addetti,1945.2
017029,Brescia,2020,53,postal and courier activities,addetti,726.5
017029,Brescia,2020,55,accommodation,addetti,433.5
017029,Brescia,2020,56,food service activities,addetti,6494.8
017029,Brescia,2020,58,publishing activities,addetti,208.4
017029,Brescia,2020,59,"motion picture, video and television programme production, sound recording and music publishing activities",addetti,139.4
017029,Brescia,2020,60,programming and broadcasting activities,addetti,18.5
017029,Brescia,2020,61,telecommunications,addetti,610.3
017029,Brescia,2020,62,"computer programming, consultancy and related activities",addetti,2227.6
017029,Brescia,2020,63,information service activities,addetti,1196.1
