territorio,nome_territorio,anno,ateco,settore,classe_addetti,indicatore,valore
017029,Brescia,2018,0010,TOTALE,0-9,addetti,40149.3
017029,Brescia,2018,0010,TOTALE,10-49,addetti,22015.8
017029,Brescia,2018,0010,TOTALE,250+,addetti,20110.7
017029,Brescia,2018,0010,TOTALE,50-249,addetti,18860.0
017029,Brescia,2018,0010,TOTALE,totale,addetti,101135.9
017029,Brescia,2018,08,altre attività di estrazione di minerali da cave e miniere,0-9,addetti,42.4
017029,Brescia,2018,08,altre attività di estrazione di minerali da cave e miniere,totale,addetti,42.4
017029,Brescia,2018,10,industrie alimentari,0-9,addetti,352.8
017029,Brescia,2018,10,industrie alimentari,10-49,addetti,280.4
017029,Brescia,2018,10,industrie alimentari,50-249,addetti,185.1
017029,Brescia,2018,10,industrie alimentari,totale,addetti,818.3
017029,Brescia,2018,11,industria delle bevande,0-9,addetti,15.0
017029,Brescia,2018,11,industria delle bevande,totale,addetti,15.0
017029,Brescia,2018,13,industrie tessili,0-9,addetti,27.9
017029,Brescia,2018,13,industrie tessili,10-49,addetti,100.3
017029,Brescia,2018,13,industrie tessili,totale,addetti,128.2
017029,Brescia,2018,14,"confezione di articoli di abbigliamento, confezione di articoli in pelle e pelliccia",0-9,addetti,265.8
017029,Brescia,2018,14,"confezione di articoli di abbigliamento, confezione di articoli in pelle e pelliccia",10-49,addetti,100.2
017029,Brescia,2018,14,"confezione di articoli di abbigliamento, confezione di articoli in pelle e pelliccia",totale,addetti,366.0
017029,Brescia,2018,15,fabbricazione di articoli in pelle e simili,0-9,addetti,9.6
017029,Brescia,2018,15,fabbricazione di articoli in pelle e simili,totale,addetti,9.6
017029,Brescia,2018,16,"industria del legno e dei prodotti in legno e sughero (esclusi i mobili), fabbricazione di articoli in paglia e materiali da intreccio",0-9,addetti,54.2
017029,Brescia,2018,16,"industria del legno e dei prodotti in legno e sughero (esclusi i mobili), fabbricazione di articoli in paglia e materiali da intreccio",10-49,addetti,10.3
017029,Brescia,2018,16,"industria del legno e dei prodotti in legno e sughero (esclusi i mobili), fabbricazione di articoli in paglia e materiali da intreccio",totale,addetti,64.5
017029,Brescia,2018,17,fabbricazione di carta e di prodotti di carta,0-9,addetti,30.0
017029,Brescia,2018,17,fabbricazione di carta e di prodotti di carta,totale,addetti,30.0
017029,Brescia,2018,18,stampa e riproduzione di supporti registrati,0-9,addetti,132.0
017029,Brescia,2018,18,stampa e riproduzione di supporti registrati,10-49,addetti,75.0
017029,Brescia,2018,18,stampa e riproduzione di supporti registrati,50-249,addetti,74.0
017029,Brescia,2018,18,stampa e riproduzione di supporti registrati,totale,addetti,281.1
017029,Brescia,2018,19,fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,0-9,addetti,2.0
017029,Brescia,2018,19,fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,10-49,addetti,15.0
017029,Brescia,2018,19,fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,totale,addetti,17.0
017029,Brescia,2018,20,fabbricazione di prodotti chimici,0-9,addetti,56.3
017029,Brescia,2018,20,fabbricazione di prodotti chimici,10-49,addetti,94.5
017029,Brescia,2018,20,fabbricazione di prodotti chimici,250+,addetti,283.1
017029,Brescia,2018,20,fabbricazione di prodotti chimici,50-249,addetti,108.8
017029,Brescia,2018,20,fabbricazione di prodotti chimici,totale,addetti,542.8
017029,Brescia,2018,21,fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,50-249,addetti,205.8
017029,Brescia,2018,21,fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,totale,addetti,205.8
017029,Brescia,2018,22,fabbricazione di articoli in gomma e materie plastiche,0-9,addetti,64.8
017029,Brescia,2018,22,fabbricazione di articoli in gomma e materie plastiche,10-49,addetti,225.8
017029,Brescia,2018,22,fabbricazione di articoli in gomma e materie plastiche,50-249,addetti,50.6
017029,Brescia,2018,22,fabbricazione di articoli in gomma e materie plastiche,totale,addetti,341.1
017029,Brescia,2018,23,fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,0-9,addetti,58.6
017029,Brescia,2018,23,fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,10-49,addetti,43.8
017029,Brescia,2018,23,fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,50-249,addetti,59.6
