codice_istat,comune,anno,sezione,nome_sezione,indicatore,valore
017001,Acquafredda,2018,C,attività manifatturiere,addetti,249.7
017001,Acquafredda,2018,F,costruzioni,addetti,39.8
017001,Acquafredda,2018,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,76.4
017001,Acquafredda,2018,H,trasporto e magazzinaggio,addetti,5.8
017001,Acquafredda,2018,I,attività dei servizi di alloggio e di ristorazione,addetti,8.9
017001,Acquafredda,2018,J,servizi di informazione e comunicazione,addetti,2.0
017001,Acquafredda,2018,K,attività finanziarie e assicurative,addetti,3.0
017001,Acquafredda,2018,L,attività immobiliari,addetti,5.1
017001,Acquafredda,2018,M,"attività professionali, scientifiche e tecniche",addetti,19.7
017001,Acquafredda,2018,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,7.0
017001,Acquafredda,2018,P,istruzione,addetti,1.0
017001,Acquafredda,2018,Q,sanità e assistenza sociale,addetti,2.0
017001,Acquafredda,2018,S,altre attività di servizi,addetti,8.0
017001,Acquafredda,2019,C,attività manifatturiere,addetti,213.8
017001,Acquafredda,2019,F,costruzioni,addetti,42.2
017001,Acquafredda,2019,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,68.8
017001,Acquafredda,2019,H,trasporto e magazzinaggio,addetti,4.5
017001,Acquafredda,2019,I,attività dei servizi di alloggio e di ristorazione,addetti,11.6
017001,Acquafredda,2019,J,servizi di informazione e comunicazione,addetti,9.3
017001,Acquafredda,2019,K,attività finanziarie e assicurative,addetti,3.0
017001,Acquafredda,2019,L,attività immobiliari,addetti,4.0
017001,Acquafredda,2019,M,"attività professionali, scientifiche e tecniche",addetti,18.4
017001,Acquafredda,2019,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,10.1
017001,Acquafredda,2019,P,istruzione,addetti,1.0
017001,Acquafredda,2019,Q,sanità e assistenza sociale,addetti,3.0
017001,Acquafredda,2019,R,"attività artistiche, sportive, di intrattenimento e divertimento",addetti,1.0
017001,Acquafredda,2019,S,altre attività di servizi,addetti,16.9
017001,Acquafredda,2020,C,attività manifatturiere,addetti,202.1
017001,Acquafredda,2020,F,costruzioni,addetti,42.0
017001,Acquafredda,2020,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,70.6
017001,Acquafredda,2020,H,trasporto e magazzinaggio,addetti,3.0
017001,Acquafredda,2020,I,attività dei servizi di alloggio e di ristorazione,addetti,12.0
017001,Acquafredda,2020,J,servizi di informazione e comunicazione,addetti,15.8
017001,Acquafredda,2020,K,attività finanziarie e assicurative,addetti,4.0
017001,Acquafredda,2020,L,attività immobiliari,addetti,3.0
017001,Acquafredda,2020,M,"attività professionali, scientifiche e tecniche",addetti,26.7
017001,Acquafredda,2020,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,4.0
017001,Acquafredda,2020,P,istruzione,addetti,1.0
017001,Acquafredda,2020,Q,sanità e assistenza sociale,addetti,2.0
017001,Acquafredda,2020,S,altre attività di servizi,addetti,15.3
017001,Acquafredda,2021,C,attività manifatturiere,addetti,218.0
017001,Acquafredda,2021,F,costruzioni,addetti,51.5
017001,Acquafredda,2021,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,68.9
017001,Acquafredda,2021,H,trasporto e magazzinaggio,addetti,2.2
017001,Acquafredda,2021,I,attività dei servizi di alloggio e di ristorazione,addetti,14.9
017001,Acquafredda,2021,J,servizi di informazione e comunicazione,addetti,10.2
017001,Acquafredda,2021,K,attività finanziarie e assicurative,addetti,4.0
017001,Acquafredda,2021,L,attività immobiliari,addetti,4.0
017001,Acquafredda,2021,M,"attività professionali, scientifiche e tecniche",addetti,28.5
017001,Acquafredda,2021,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,3.7
017001,Acquafredda,2021,P,istruzione,addetti,0.9
017001,Acquafredda,2021,Q,sanità e assistenza sociale,addetti,2.0
017001,Acquafredda,2021,S,altre attività di servizi,addetti,15.7
017001,Acquafredda,2022,C,attività manifatturiere,addetti,212.2
017001,Acquafredda,2022,F,costruzioni,addetti,51.7
017001,Acquafredda,2022,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,71.4
017001,Acquafredda,2022,H,trasporto e magazzinaggio,addetti,1.0
017001,Acquafredda,2022,I,attività dei servizi di alloggio e di ristorazione,addetti,18.2
017001,Acquafredda,2022,J,servizi di informazione e comunicazione,addetti,7.6
017001,Acquafredda,2022,K,attività finanziarie e assicurative,addetti,4.0
017001,Acquafredda,2022,L,attività immobiliari,addetti,4.0
017001,Acquafredda,2022,M,"attività professionali, scientifiche e tecniche",addetti,40.5
017001,Acquafredda,2022,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,3.5
017001,Acquafredda,2022,Q,sanità e assistenza sociale,addetti,3.0
017001,Acquafredda,2022,S,altre attività di servizi,addetti,9.7
017001,Acquafredda,2023,C,attività manifatturiere,addetti,212.1
017001,Acquafredda,2023,F,costruzioni,addetti,54.4
017001,Acquafredda,2023,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,75.2
017001,Acquafredda,2023,H,trasporto e magazzinaggio,addetti,1.0
017001,Acquafredda,2023,I,attività dei servizi di alloggio e di ristorazione,addetti,15.7
017001,Acquafredda,2023,J,servizi di informazione e comunicazione,addetti,6.2
017001,Acquafredda,2023,K,attività finanziarie e assicurative,addetti,4.0
017001,Acquafredda,2023,L,attività immobiliari,addetti,4.0
017001,Acquafredda,2023,M,"attività professionali, scientifiche e tecniche",addetti,44.1
017001,Acquafredda,2023,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,4.4
017001,Acquafredda,2023,Q,sanità e assistenza sociale,addetti,4.5
017001,Acquafredda,2023,S,altre attività di servizi,addetti,7.1
017001,Acquafredda,2018,C,attività manifatturiere,unita_locali,39
017001,Acquafredda,2018,F,costruzioni,unita_locali,10
017001,Acquafredda,2018,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,26
017001,Acquafredda,2018,H,trasporto e magazzinaggio,unita_locali,3
017001,Acquafredda,2018,I,attività dei servizi di alloggio e di ristorazione,unita_locali,4
017001,Acquafredda,2018,J,servizi di informazione e comunicazione,unita_locali,1
017001,Acquafredda,2018,K,attività finanziarie e assicurative,unita_locali,3
017001,Acquafredda,2018,L,attività immobiliari,unita_locali,6
017001,Acquafredda,2018,M,"attività professionali, scientifiche e tecniche",unita_locali,17
017001,Acquafredda,2018,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,4
017001,Acquafredda,2018,P,istruzione,unita_locali,1
017001,Acquafredda,2018,Q,sanità e assistenza sociale,unita_locali,2
017001,Acquafredda,2018,S,altre attività di servizi,unita_locali,5
017001,Acquafredda,2019,C,attività manifatturiere,unita_locali,36
017001,Acquafredda,2019,F,costruzioni,unita_locali,9
017001,Acquafredda,2019,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,24
017001,Acquafredda,2019,H,trasporto e magazzinaggio,unita_locali,3
017001,Acquafredda,2019,I,attività dei servizi di alloggio e di ristorazione,unita_locali,4
017001,Acquafredda,2019,J,servizi di informazione e comunicazione,unita_locali,2
017001,Acquafredda,2019,K,attività finanziarie e assicurative,unita_locali,3
017001,Acquafredda,2019,L,attività immobiliari,unita_locali,6
017001,Acquafredda,2019,M,"attività professionali, scientifiche e tecniche",unita_locali,18
017001,Acquafredda,2019,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,5
017001,Acquafredda,2019,P,istruzione,unita_locali,1
017001,Acquafredda,2019,Q,sanità e assistenza sociale,unita_locali,3
017001,Acquafredda,2019,R,"attività artistiche, sportive, di intrattenimento e divertimento",unita_locali,1
017001,Acquafredda,2019,S,altre attività di servizi,unita_locali,6
017001,Acquafredda,2020,C,attività manifatturiere,unita_locali,37
017001,Acquafredda,2020,F,costruzioni,unita_locali,10
017001,Acquafredda,2020,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,23
017001,Acquafredda,2020,H,trasporto e magazzinaggio,unita_locali,2
017001,Acquafredda,2020,I,attività dei servizi di alloggio e di ristorazione,unita_locali,5
017001,Acquafredda,2020,J,servizi di informazione e comunicazione,unita_locali,3
017001,Acquafredda,2020,K,attività finanziarie e assicurative,unita_locali,3
017001,Acquafredda,2020,L,attività immobiliari,unita_locali,6
017001,Acquafredda,2020,M,"attività professionali, scientifiche e tecniche",unita_locali,21
017001,Acquafredda,2020,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,4
017001,Acquafredda,2020,P,istruzione,unita_locali,1
017001,Acquafredda,2020,Q,sanità e assistenza sociale,unita_locali,2
017001,Acquafredda,2020,S,altre attività di servizi,unita_locali,7
017001,Acquafredda,2021,C,attività manifatturiere,unita_locali,36
017001,Acquafredda,2021,F,costruzioni,unita_locali,12
017001,Acquafredda,2021,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,25
017001,Acquafredda,2021,H,trasporto e magazzinaggio,unita_locali,2
017001,Acquafredda,2021,I,attività dei servizi di alloggio e di ristorazione,unita_locali,7
017001,Acquafredda,2021,J,servizi di informazione e comunicazione,unita_locali,4
017001,Acquafredda,2021,K,attività finanziarie e assicurative,unita_locali,3
017001,Acquafredda,2021,L,attività immobiliari,unita_locali,5
017001,Acquafredda,2021,M,"attività professionali, scientifiche e tecniche",unita_locali,24
017001,Acquafredda,2021,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,4
017001,Acquafredda,2021,P,istruzione,unita_locali,1
017001,Acquafredda,2021,Q,sanità e assistenza sociale,unita_locali,2
017001,Acquafredda,2021,S,altre attività di servizi,unita_locali,7
017001,Acquafredda,2022,C,attività manifatturiere,unita_locali,36
017001,Acquafredda,2022,F,costruzioni,unita_locali,12
017001,Acquafredda,2022,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,25
017001,Acquafredda,2022,H,trasporto e magazzinaggio,unita_locali,1
017001,Acquafredda,2022,I,attività dei servizi di alloggio e di ristorazione,unita_locali,8
017001,Acquafredda,2022,J,servizi di informazione e comunicazione,unita_locali,3
017001,Acquafredda,2022,K,attività finanziarie e assicurative,unita_locali,3
017001,Acquafredda,2022,L,attività immobiliari,unita_locali,6
017001,Acquafredda,2022,M,"attività professionali, scientifiche e tecniche",unita_locali,27
017001,Acquafredda,2022,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,5
017001,Acquafredda,2022,Q,sanità e assistenza sociale,unita_locali,3
017001,Acquafredda,2022,S,altre attività di servizi,unita_locali,7
017001,Acquafredda,2023,C,attività manifatturiere,unita_locali,34
017001,Acquafredda,2023,F,costruzioni,unita_locali,11
017001,Acquafredda,2023,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,26
017001,Acquafredda,2023,H,trasporto e magazzinaggio,unita_locali,1
017001,Acquafredda,2023,I,attività dei servizi di alloggio e di ristorazione,unita_locali,6
017001,Acquafredda,2023,J,servizi di informazione e comunicazione,unita_locali,2
017001,Acquafredda,2023,K,attività finanziarie e assicurative,unita_locali,3
017001,Acquafredda,2023,L,attività immobiliari,unita_locali,6
017001,Acquafredda,2023,M,"attività professionali, scientifiche e tecniche",unita_locali,26
017001,Acquafredda,2023,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,5
017001,Acquafredda,2023,Q,sanità e assistenza sociale,unita_locali,5
017001,Acquafredda,2023,S,altre attività di servizi,unita_locali,5
017002,Adro,2018,C,attività manifatturiere,addetti,1925.9
017002,Adro,2018,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",addetti,12.4
017002,Adro,2018,F,costruzioni,addetti,267.3
017002,Adro,2018,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,254.8
017002,Adro,2018,H,trasporto e magazzinaggio,addetti,49.8
017002,Adro,2018,I,attività dei servizi di alloggio e di ristorazione,addetti,199.2
017002,Adro,2018,J,servizi di informazione e comunicazione,addetti,36.8
017002,Adro,2018,K,attività finanziarie e assicurative,addetti,42.4
017002,Adro,2018,L,attività immobiliari,addetti,45.9
017002,Adro,2018,M,"attività professionali, scientifiche e tecniche",addetti,102.8
017002,Adro,2018,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,65.0
017002,Adro,2018,P,istruzione,addetti,10.7
017002,Adro,2018,Q,sanità e assistenza sociale,addetti,48.3
017002,Adro,2018,R,"attività artistiche, sportive, di intrattenimento e divertimento",addetti,5.7
017002,Adro,2018,S,altre attività di servizi,addetti,51.4
017002,Adro,2019,C,attività manifatturiere,addetti,1946.4
017002,Adro,2019,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",addetti,8.8
017002,Adro,2019,F,costruzioni,addetti,234.6
017002,Adro,2019,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,325.3
017002,Adro,2019,H,trasporto e magazzinaggio,addetti,50.2
017002,Adro,2019,I,attività dei servizi di alloggio e di ristorazione,addetti,177.5
017002,Adro,2019,J,servizi di informazione e comunicazione,addetti,38.8
017002,Adro,2019,K,attività finanziarie e assicurative,addetti,39.0
017002,Adro,2019,L,attività immobiliari,addetti,51.8
017002,Adro,2019,M,"attività professionali, scientifiche e tecniche",addetti,101.5
017002,Adro,2019,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,65.1
017002,Adro,2019,P,istruzione,addetti,14.7
017002,Adro,2019,Q,sanità e assistenza sociale,addetti,63.2
017002,Adro,2019,R,"attività artistiche, sportive, di intrattenimento e divertimento",addetti,6.0
017002,Adro,2019,S,altre attività di servizi,addetti,48.0
017002,Adro,2020,C,attività manifatturiere,addetti,1936.4
017002,Adro,2020,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",addetti,9.6
017002,Adro,2020,F,costruzioni,addetti,239.1
