anno,indice,indice_fonte,variazione_annua,base_fonte,stato
1996,69.202,104.0,,1995,concatenato
1997,70.599,106.1,2.0,1995,concatenato
1998,71.997,108.2,2.0,1995,concatenato
1999,73.194,110.0,1.7,1995,concatenato
2000,75.057,112.8,2.5,1995,concatenato
2001,77.120,115.9,2.7,1995,concatenato
2002,79.050,118.8,2.5,1995,concatenato
2003,81.179,122.0,2.7,1995,concatenato
2004,82.976,124.7,2.2,1995,concatenato
2005,84.573,127.1,1.9,1995,concatenato
2006,86.369,129.8,2.1,1995,concatenato
2007,87.966,132.2,1.8,1995,concatenato
2008,90.894,136.6,3.3,1995,concatenato
2009,91.626,137.7,0.8,1995,concatenato
2010,93.023,139.8,1.5,1995,concatenato
2011,95.628,102.8,2.8,2010,concatenato
2012,98.512,105.9,3.0,2010,concatenato
2013,99.721,107.2,1.2,2010,concatenato
2014,99.907,107.4,0.2,2010,concatenato
2015,100.000,107.5,0.1,2010,concatenato
2016,99.900,99.9,-0.1,2015,osservato
2017,101.100,101.1,1.2,2015,osservato
2018,102.300,102.3,1.2,2015,osservato
2019,102.900,102.9,0.6,2015,osservato
2020,102.700,102.7,-0.2,2015,osservato
2021,104.700,104.7,1.9,2015,osservato
2022,113.200,113.2,8.1,2015,osservato
2023,119.600,119.6,5.7,2015,osservato
2024,120.800,120.8,1.0,2015,osservato
2025,122.600,122.6,1.5,2015,osservato
