codice_provincia,provincia,anno,sezione_ateco,indicatore,valore
012,Varese,2020,A,denunce,3
012,Varese,2020,B,denunce,2
012,Varese,2020,C,casi_mortali,3
012,Varese,2020,C,denunce,1635
012,Varese,2020,D,denunce,8
012,Varese,2020,E,casi_mortali,1
012,Varese,2020,E,denunce,119
012,Varese,2020,F,casi_mortali,3
012,Varese,2020,F,denunce,420
012,Varese,2020,G,casi_mortali,1
012,Varese,2020,G,denunce,588
012,Varese,2020,H,casi_mortali,1
012,Varese,2020,H,denunce,676
012,Varese,2020,I,denunce,276
012,Varese,2020,J,denunce,24
012,Varese,2020,K,casi_mortali,1
012,Varese,2020,K,denunce,40
012,Varese,2020,L,denunce,15
012,Varese,2020,M,denunce,65
012,Varese,2020,N,casi_mortali,1
012,Varese,2020,N,denunce,346
012,Varese,2020,O,casi_mortali,1
012,Varese,2020,O,denunce,114
012,Varese,2020,P,denunce,115
012,Varese,2020,Q,casi_mortali,3
012,Varese,2020,Q,denunce,4190
012,Varese,2020,R,denunce,31
012,Varese,2020,S,casi_mortali,1
012,Varese,2020,S,denunce,69
012,Varese,2020,non determinato,casi_mortali,2
012,Varese,2020,non determinato,denunce,1388
012,Varese,2020,totale,casi_mortali,18
012,Varese,2020,totale,denunce,10124
012,Varese,2021,A,denunce,2
012,Varese,2021,B,denunce,4
012,Varese,2021,C,casi_mortali,2
012,Varese,2021,C,denunce,1946
012,Varese,2021,D,denunce,3
012,Varese,2021,E,denunce,119
012,Varese,2021,F,casi_mortali,3
012,Varese,2021,F,denunce,526
012,Varese,2021,G,casi_mortali,1
012,Varese,2021,G,denunce,642
012,Varese,2021,H,casi_mortali,2
012,Varese,2021,H,denunce,931
012,Varese,2021,I,denunce,316
012,Varese,2021,J,denunce,45
012,Varese,2021,K,denunce,27
012,Varese,2021,L,denunce,16
012,Varese,2021,M,casi_mortali,1
012,Varese,2021,M,denunce,71
012,Varese,2021,N,denunce,382
012,Varese,2021,O,denunce,97
012,Varese,2021,P,denunce,162
012,Varese,2021,Q,denunce,1351
012,Varese,2021,R,denunce,72
012,Varese,2021,S,denunce,95
012,Varese,2021,non determinato,casi_mortali,4
012,Varese,2021,non determinato,denunce,1854
012,Varese,2021,totale,casi_mortali,13
012,Varese,2021,totale,denunce,8661
012,Varese,2022,A,denunce,2
012,Varese,2022,B,denunce,6
012,Varese,2022,C,casi_mortali,4
012,Varese,2022,C,denunce,1938
012,Varese,2022,D,denunce,18
012,Varese,2022,E,denunce,138
012,Varese,2022,F,casi_mortali,6
012,Varese,2022,F,denunce,561
012,Varese,2022,G,casi_mortali,1
012,Varese,2022,G,denunce,746
012,Varese,2022,H,casi_mortali,4
012,Varese,2022,H,denunce,1037
012,Varese,2022,I,denunce,426
012,Varese,2022,J,denunce,35
012,Varese,2022,K,denunce,36
012,Varese,2022,L,denunce,14
012,Varese,2022,M,denunce,106
012,Varese,2022,N,denunce,465
012,Varese,2022,O,denunce,98
012,Varese,2022,P,denunce,177
012,Varese,2022,Q,denunce,1601
012,Varese,2022,R,denunce,59
012,Varese,2022,S,casi_mortali,1
012,Varese,2022,S,denunce,79
012,Varese,2022,non determinato,casi_mortali,1
012,Varese,2022,non determinato,denunce,2391
012,Varese,2022,totale,casi_mortali,17
012,Varese,2022,totale,denunce,9933
012,Varese,2023,A,denunce,3
012,Varese,2023,B,denunce,4
012,Varese,2023,C,casi_mortali,2
012,Varese,2023,C,denunce,1976
012,Varese,2023,D,denunce,10
012,Varese,2023,E,denunce,159
012,Varese,2023,F,denunce,529
012,Varese,2023,G,casi_mortali,1
012,Varese,2023,G,denunce,791
012,Varese,2023,H,casi_mortali,2
012,Varese,2023,H,denunce,1013
012,Varese,2023,I,denunce,474
012,Varese,2023,J,denunce,38
012,Varese,2023,K,denunce,41
012,Varese,2023,L,denunce,17
012,Varese,2023,M,denunce,78
012,Varese,2023,N,denunce,493
012,Varese,2023,O,casi_mortali,1
012,Varese,2023,O,denunce,101
012,Varese,2023,P,casi_mortali,1
012,Varese,2023,P,denunce,224
012,Varese,2023,Q,denunce,726
012,Varese,2023,R,denunce,62
012,Varese,2023,S,denunce,80
