id_sensore,stazione,parametro,mese,media,n_misure
107,Edolo Parnigò,Temperatura,2001-12,-1.92,713
107,Edolo Parnigò,Temperatura,2002-10,9.27,1086
107,Edolo Parnigò,Temperatura,2002-11,6.27,1434
107,Edolo Parnigò,Temperatura,2002-12,2.51,1027
107,Edolo Parnigò,Temperatura,2003-01,-0.35,1482
107,Edolo Parnigò,Temperatura,2003-02,-1.67,1344
107,Edolo Parnigò,Temperatura,2003-03,6.30,1488
107,Edolo Parnigò,Temperatura,2003-04,9.10,1440
107,Edolo Parnigò,Temperatura,2003-05,14.60,1440
107,Edolo Parnigò,Temperatura,2003-06,20.93,1200
107,Edolo Parnigò,Temperatura,2003-07,19.45,1487
107,Edolo Parnigò,Temperatura,2003-08,22.02,1488
107,Edolo Parnigò,Temperatura,2003-09,14.39,1440
107,Edolo Parnigò,Temperatura,2003-10,7.54,1464
107,Edolo Parnigò,Temperatura,2003-11,4.50,1426
107,Edolo Parnigò,Temperatura,2003-12,1.17,1374
107,Edolo Parnigò,Temperatura,2004-01,-0.36,1218
107,Edolo Parnigò,Temperatura,2004-02,1.99,1323
107,Edolo Parnigò,Temperatura,2004-03,4.70,1487
107,Edolo Parnigò,Temperatura,2004-04,8.34,907
107,Edolo Parnigò,Temperatura,2004-05,11.63,1488
107,Edolo Parnigò,Temperatura,2004-06,16.95,1440
107,Edolo Parnigò,Temperatura,2004-07,17.64,1488
107,Edolo Parnigò,Temperatura,2004-08,19.40,865
107,Edolo Parnigò,Temperatura,2004-09,14.48,653
107,Edolo Parnigò,Temperatura,2004-10,11.47,1333
107,Edolo Parnigò,Temperatura,2004-11,4.75,1197
107,Edolo Parnigò,Temperatura,2004-12,0.82,1338
107,Edolo Parnigò,Temperatura,2005-01,-0.46,727
107,Edolo Parnigò,Temperatura,2005-02,-0.32,1140
107,Edolo Parnigò,Temperatura,2005-03,4.87,1241
107,Edolo Parnigò,Temperatura,2005-04,9.03,1012
107,Edolo Parnigò,Temperatura,2005-05,14.22,1194
107,Edolo Parnigò,Temperatura,2005-06,17.98,978
107,Edolo Parnigò,Temperatura,2005-07,18.43,985
107,Edolo Parnigò,Temperatura,2005-08,17.16,1083
107,Edolo Parnigò,Temperatura,2005-09,14.59,991
107,Edolo Parnigò,Temperatura,2005-10,9.46,1212
107,Edolo Parnigò,Temperatura,2005-11,3.01,1260
107,Edolo Parnigò,Temperatura,2005-12,-2.91,859
107,Edolo Parnigò,Temperatura,2006-01,-2.56,1300
107,Edolo Parnigò,Temperatura,2006-02,-0.06,1209
107,Edolo Parnigò,Temperatura,2006-03,3.88,1333
107,Edolo Parnigò,Temperatura,2006-04,10.15,1266
107,Edolo Parnigò,Temperatura,2006-05,13.98,1302
107,Edolo Parnigò,Temperatura,2006-06,18.75,1290
107,Edolo Parnigò,Temperatura,2006-07,21.05,1147
107,Edolo Parnigò,Temperatura,2006-08,16.09,1308
107,Edolo Parnigò,Temperatura,2006-09,16.35,1290
107,Edolo Parnigò,Temperatura,2006-10,11.27,1333
107,Edolo Parnigò,Temperatura,2006-11,5.93,1295
107,Edolo Parnigò,Temperatura,2006-12,1.39,1296
107,Edolo Parnigò,Temperatura,2007-01,2.85,1331
107,Edolo Parnigò,Temperatura,2007-02,4.18,1198
107,Edolo Parnigò,Temperatura,2007-03,7.23,1327
107,Edolo Parnigò,Temperatura,2007-04,13.52,1290
107,Edolo Parnigò,Temperatura,2007-05,15.11,1333
107,Edolo Parnigò,Temperatura,2007-06,18.77,1290
107,Edolo Parnigò,Temperatura,2007-07,19.93,1333
107,Edolo Parnigò,Temperatura,2007-08,17.33,1321
107,Edolo Parnigò,Temperatura,2007-09,13.23,1266
107,Edolo Parnigò,Temperatura,2007-10,9.93,1302
107,Edolo Parnigò,Temperatura,2007-11,3.45,1283
107,Edolo Parnigò,Temperatura,2007-12,0.60,1120
107,Edolo Parnigò,Temperatura,2008-01,0.89,1111
107,Edolo Parnigò,Temperatura,2008-02,2.28,1149
107,Edolo Parnigò,Temperatura,2008-03,6.54,887
107,Edolo Parnigò,Temperatura,2008-04,9.08,1254
107,Edolo Parnigò,Temperatura,2008-05,14.13,1296
