tavola,territorio,anno,sesso,modalita,codice_modalita,valore
rischio_criminalita,017029,2022,total,all items,ALL,95820.0
rischio_criminalita,017029,2022,total,all items,ALL,95820.0
rischio_criminalita,017029,2022,total,all items,ALL,95820.0
rischio_criminalita,017029,2022,total,all items,ALL,51578.7
rischio_criminalita,017029,2022,total,all items,ALL,51578.7
rischio_criminalita,017029,2022,total,all items,ALL,21983.1
rischio_criminalita,017029,2022,total,all items,ALL,21983.1
rischio_criminalita,017029,2022,total,all items,ALL,19173.7
rischio_criminalita,017029,2022,total,all items,ALL,19173.7
rischio_criminalita,017029,2022,total,all items,ALL,3084.5
rischio_criminalita,017029,2022,total,all items,ALL,3084.5
rischio_criminalita,017029,2022,total,a little,CR_LITTLE,51578.7
rischio_criminalita,017029,2022,total,not at all,CR_NATALL,21983.1
rischio_criminalita,017029,2022,total,quite a bit,CR_QUITE_BIT,19173.7
rischio_criminalita,017029,2022,total,very much,CR_V_MUCH,3084.5
rischio_criminalita,017029,2023,total,all items,ALL,96609.0
rischio_criminalita,017029,2023,total,all items,ALL,96609.0
rischio_criminalita,017029,2023,total,all items,ALL,96609.0
rischio_criminalita,017029,2023,total,all items,ALL,52344.6
rischio_criminalita,017029,2023,total,all items,ALL,52344.6
rischio_criminalita,017029,2023,total,all items,ALL,18946.0
rischio_criminalita,017029,2023,total,all items,ALL,18946.0
rischio_criminalita,017029,2023,total,all items,ALL,21470.4
rischio_criminalita,017029,2023,total,all items,ALL,21470.4
rischio_criminalita,017029,2023,total,all items,ALL,3848.0
rischio_criminalita,017029,2023,total,all items,ALL,3848.0
rischio_criminalita,017029,2023,total,a little,CR_LITTLE,52344.6
rischio_criminalita,017029,2023,total,not at all,CR_NATALL,18946.0
rischio_criminalita,017029,2023,total,quite a bit,CR_QUITE_BIT,21470.4
rischio_criminalita,017029,2023,total,very much,CR_V_MUCH,3848.0
rischio_criminalita,017029,2024,total,all items,ALL,97803.0
rischio_criminalita,017029,2024,total,all items,ALL,97803.0
rischio_criminalita,017029,2024,total,all items,ALL,97803.0
rischio_criminalita,017029,2024,total,all items,ALL,50952.7
rischio_criminalita,017029,2024,total,all items,ALL,50952.7
rischio_criminalita,017029,2024,total,all items,ALL,19172.5
rischio_criminalita,017029,2024,total,all items,ALL,19172.5
rischio_criminalita,017029,2024,total,all items,ALL,22725.0
