codice_istat,comune,anno,indicatore,valore
017001,Acquafredda,2018,famiglie,605
017001,Acquafredda,2019,famiglie,603
017001,Acquafredda,2020,famiglie,615
017001,Acquafredda,2021,famiglie,620
017001,Acquafredda,2022,famiglie,617
017001,Acquafredda,2023,famiglie,627
017001,Acquafredda,2024,famiglie,628
017001,Acquafredda,2019,popolazione_in_convivenza,3
017001,Acquafredda,2020,popolazione_in_convivenza,2
017001,Acquafredda,2018,popolazione_in_famiglia,1521
017001,Acquafredda,2019,popolazione_in_famiglia,1501
017001,Acquafredda,2020,popolazione_in_famiglia,1511
017001,Acquafredda,2021,popolazione_in_famiglia,1518
017001,Acquafredda,2022,popolazione_in_famiglia,1525
017001,Acquafredda,2023,popolazione_in_famiglia,1550
017001,Acquafredda,2024,popolazione_in_famiglia,1545
017001,Acquafredda,2018,popolazione_residente,1521
017001,Acquafredda,2019,popolazione_residente,1504
017001,Acquafredda,2020,popolazione_residente,1513
017001,Acquafredda,2021,popolazione_residente,1518
017001,Acquafredda,2022,popolazione_residente,1525
017001,Acquafredda,2023,popolazione_residente,1550
017001,Acquafredda,2024,popolazione_residente,1545
017002,Adro,2018,famiglie,2900
017002,Adro,2019,famiglie,2923
017002,Adro,2020,famiglie,2924
017002,Adro,2021,famiglie,2933
017002,Adro,2022,famiglie,2953
017002,Adro,2023,famiglie,2975
017002,Adro,2024,famiglie,2997
017002,Adro,2018,popolazione_in_convivenza,73
017002,Adro,2019,popolazione_in_convivenza,80
017002,Adro,2020,popolazione_in_convivenza,66
017002,Adro,2021,popolazione_in_convivenza,64
017002,Adro,2022,popolazione_in_convivenza,62
017002,Adro,2023,popolazione_in_convivenza,68
017002,Adro,2024,popolazione_in_convivenza,56
017002,Adro,2018,popolazione_in_famiglia,7053
017002,Adro,2019,popolazione_in_famiglia,7115
017002,Adro,2020,popolazione_in_famiglia,7065
017002,Adro,2021,popolazione_in_famiglia,7107
017002,Adro,2022,popolazione_in_famiglia,7089
017002,Adro,2023,popolazione_in_famiglia,7083
017002,Adro,2024,popolazione_in_famiglia,7090
017002,Adro,2018,popolazione_residente,7126
017002,Adro,2019,popolazione_residente,7195
017002,Adro,2020,popolazione_residente,7131
017002,Adro,2021,popolazione_residente,7171
017002,Adro,2022,popolazione_residente,7151
017002,Adro,2023,popolazione_residente,7151
017002,Adro,2024,popolazione_residente,7146
017003,Agnosine,2018,famiglie,728
017003,Agnosine,2019,famiglie,723
017003,Agnosine,2020,famiglie,719
017003,Agnosine,2021,famiglie,713
017003,Agnosine,2022,famiglie,717
017003,Agnosine,2023,famiglie,721
017003,Agnosine,2024,famiglie,727
017003,Agnosine,2018,popolazione_in_convivenza,2
017003,Agnosine,2018,popolazione_in_famiglia,1693
017003,Agnosine,2019,popolazione_in_famiglia,1671
017003,Agnosine,2020,popolazione_in_famiglia,1636
017003,Agnosine,2021,popolazione_in_famiglia,1622
017003,Agnosine,2022,popolazione_in_famiglia,1654
017003,Agnosine,2023,popolazione_in_famiglia,1638
017003,Agnosine,2024,popolazione_in_famiglia,1639
017003,Agnosine,2018,popolazione_residente,1695
017003,Agnosine,2019,popolazione_residente,1671
017003,Agnosine,2020,popolazione_residente,1636
017003,Agnosine,2021,popolazione_residente,1622
017003,Agnosine,2022,popolazione_residente,1654
017003,Agnosine,2023,popolazione_residente,1638
017003,Agnosine,2024,popolazione_residente,1639
017004,Alfianello,2018,famiglie,948
017004,Alfianello,2019,famiglie,947
017004,Alfianello,2020,famiglie,954
017004,Alfianello,2021,famiglie,945
017004,Alfianello,2022,famiglie,928
017004,Alfianello,2023,famiglie,929
