codice_istat,comune,anno,semestre,tipologia,mercato,base_superficie,zone,minimo,massimo,media
017001,Acquafredda,2004,2,Abitazioni civili,affitto,netta,2,2.6,4.1,3.4
017001,Acquafredda,2004,2,Abitazioni civili,vendita,lorda,2,680,970,808
017001,Acquafredda,2004,2,Autorimesse,affitto,netta,2,1.8,3.6,2.6
017001,Acquafredda,2004,2,Autorimesse,vendita,lorda,2,370,640,495
017001,Acquafredda,2004,2,Box,affitto,netta,2,2.0,4.0,3.0
017001,Acquafredda,2004,2,Box,vendita,lorda,2,410,710,550
017001,Acquafredda,2004,2,Capannoni industriali,affitto,netta,1,1.5,2.0,1.8
017001,Acquafredda,2004,2,Capannoni industriali,vendita,lorda,1,250,320,285
017001,Acquafredda,2004,2,Capannoni tipici,affitto,netta,1,2.1,2.6,2.4
017001,Acquafredda,2004,2,Capannoni tipici,vendita,lorda,1,300,380,340
017001,Acquafredda,2004,2,Laboratori,affitto,netta,1,2.3,2.8,2.5
017001,Acquafredda,2004,2,Laboratori,vendita,lorda,1,340,410,375
017001,Acquafredda,2004,2,Magazzini,affitto,netta,1,2.0,2.6,2.3
017001,Acquafredda,2004,2,Magazzini,vendita,lorda,1,300,390,345
017001,Acquafredda,2004,2,Negozi,affitto,netta,2,4.0,7.0,5.4
017001,Acquafredda,2004,2,Negozi,vendita,lorda,2,750,1190,988
017001,Acquafredda,2004,2,Posti auto coperti,affitto,netta,2,1.4,2.8,2.0
017001,Acquafredda,2004,2,Posti auto coperti,vendita,lorda,2,290,500,388
017001,Acquafredda,2004,2,Posti auto scoperti,affitto,netta,2,1.0,1.9,1.4
017001,Acquafredda,2004,2,Posti auto scoperti,vendita,lorda,2,200,360,278
017001,Acquafredda,2004,2,Uffici,affitto,netta,2,2.7,4.7,3.5
017001,Acquafredda,2004,2,Uffici,vendita,lorda,2,650,1040,815
017001,Acquafredda,2004,2,Ville e Villini,affitto,netta,1,3.7,4.7,4.2
017001,Acquafredda,2004,2,Ville e Villini,vendita,lorda,1,800,1000,900
017001,Acquafredda,2005,2,Abitazioni civili,affitto,netta,2,2.6,4.1,3.4
017001,Acquafredda,2005,2,Abitazioni civili,vendita,lorda,2,680,970,808
017001,Acquafredda,2005,2,Autorimesse,affitto,netta,2,1.8,3.6,2.6
017001,Acquafredda,2005,2,Autorimesse,vendita,lorda,2,370,640,495
017001,Acquafredda,2005,2,Box,affitto,netta,2,2.0,4.0,3.0
017001,Acquafredda,2005,2,Box,vendita,lorda,2,410,710,550
017001,Acquafredda,2005,2,Capannoni industriali,affitto,netta,1,1.6,2.1,1.9
017001,Acquafredda,2005,2,Capannoni industriali,vendita,lorda,1,270,340,305
017001,Acquafredda,2005,2,Capannoni tipici,affitto,netta,1,2.2,2.8,2.5
017001,Acquafredda,2005,2,Capannoni tipici,vendita,lorda,1,320,400,360
017001,Acquafredda,2005,2,Laboratori,affitto,netta,1,2.4,3.0,2.7
017001,Acquafredda,2005,2,Laboratori,vendita,lorda,1,360,430,395
017001,Acquafredda,2005,2,Magazzini,affitto,netta,1,2.0,2.6,2.3
017001,Acquafredda,2005,2,Magazzini,vendita,lorda,1,300,390,345
017001,Acquafredda,2005,2,Negozi,affitto,netta,2,4.0,7.0,5.4
017001,Acquafredda,2005,2,Negozi,vendita,lorda,2,750,1190,988
017001,Acquafredda,2005,2,Posti auto coperti,affitto,netta,2,1.4,2.8,2.0
017001,Acquafredda,2005,2,Posti auto coperti,vendita,lorda,2,290,500,388
017001,Acquafredda,2005,2,Posti auto scoperti,affitto,netta,2,1.0,1.9,1.4
017001,Acquafredda,2005,2,Posti auto scoperti,vendita,lorda,2,200,360,278
017001,Acquafredda,2005,2,Uffici,affitto,netta,2,2.7,4.7,3.5
017001,Acquafredda,2005,2,Uffici,vendita,lorda,2,650,1040,815
017001,Acquafredda,2005,2,Ville e Villini,affitto,netta,1,3.7,4.7,4.2
017001,Acquafredda,2005,2,Ville e Villini,vendita,lorda,1,800,1000,900
017001,Acquafredda,2006,2,Abitazioni civili,affitto,netta,1,2.7,3.8,3.2
017001,Acquafredda,2006,2,Abitazioni civili,vendita,lorda,1,720,1000,860
017001,Acquafredda,2006,2,Autorimesse,affitto,netta,1,2.9,3.6,3.2
017001,Acquafredda,2006,2,Autorimesse,vendita,lorda,1,510,640,575
017001,Acquafredda,2006,2,Box,affitto,netta,1,3.2,4.0,3.6
017001,Acquafredda,2006,2,Box,vendita,lorda,1,570,710,640
017001,Acquafredda,2006,2,Capannoni industriali,affitto,netta,1,1.6,2.2,1.9
017001,Acquafredda,2006,2,Capannoni industriali,vendita,lorda,1,280,350,315
017001,Acquafredda,2006,2,Capannoni tipici,affitto,netta,1,2.3,2.9,2.6
017001,Acquafredda,2006,2,Capannoni tipici,vendita,lorda,1,330,410,370
017001,Acquafredda,2006,2,Laboratori,affitto,netta,1,2.5,3.1,2.8
017001,Acquafredda,2006,2,Laboratori,vendita,lorda,1,370,440,405
017001,Acquafredda,2006,2,Magazzini,affitto,netta,1,2.1,2.7,2.4
017001,Acquafredda,2006,2,Magazzini,vendita,lorda,1,310,400,355
017001,Acquafredda,2006,2,Negozi,affitto,netta,1,5.8,7.2,6.5
017001,Acquafredda,2006,2,Negozi,vendita,lorda,1,1000,1230,1115
017001,Acquafredda,2006,2,Posti auto coperti,affitto,netta,1,2.2,2.8,2.5
017001,Acquafredda,2006,2,Posti auto coperti,vendita,lorda,1,400,500,450
017001,Acquafredda,2006,2,Posti auto scoperti,affitto,netta,1,1.6,1.9,1.8
017001,Acquafredda,2006,2,Posti auto scoperti,vendita,lorda,1,290,360,325
017001,Acquafredda,2006,2,Uffici,affitto,netta,1,3.2,4.8,4.0
017001,Acquafredda,2006,2,Uffici,vendita,lorda,1,770,1070,920
017001,Acquafredda,2006,2,Ville e Villini,affitto,netta,1,3.8,4.8,4.3
017001,Acquafredda,2006,2,Ville e Villini,vendita,lorda,1,820,1030,925
017001,Acquafredda,2007,2,Abitazioni civili,affitto,netta,1,3.1,4.3,3.7
017001,Acquafredda,2007,2,Abitazioni civili,vendita,lorda,1,730,1020,875
