codice_istat,comune,anno,semestre,fascia,zona,link_zona,tipologia,stato,stato_prevalente,vendita_min,vendita_max,base_vendita,affitto_min,affitto_max,base_affitto
017001,Acquafredda,2004,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,700,970,lorda,2.6,3.7,netta
017001,Acquafredda,2004,2,B,B1,BS00000099,Autorimesse,,P,510,640,lorda,2.9,3.6,netta
017001,Acquafredda,2004,2,B,B1,BS00000099,Box,,P,570,710,lorda,3.2,4.0,netta
017001,Acquafredda,2004,2,B,B1,BS00000099,Negozi,NORMALE,P,970,1190,lorda,5.6,7.0,netta
017001,Acquafredda,2004,2,B,B1,BS00000099,Posti auto coperti,,P,400,500,lorda,2.2,2.8,netta
017001,Acquafredda,2004,2,B,B1,BS00000099,Posti auto scoperti,,P,290,360,lorda,1.6,1.9,netta
017001,Acquafredda,2004,2,B,B1,BS00000099,Uffici,NORMALE,P,750,1040,lorda,3.1,4.7,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Abitazioni civili,NORMALE,P,680,880,lorda,3.0,4.1,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Autorimesse,,P,370,460,lorda,1.8,2.3,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Box,,P,410,510,lorda,2.0,2.6,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Capannoni industriali,NORMALE,P,250,320,lorda,1.5,2.0,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Capannoni tipici,NORMALE,P,300,380,lorda,2.1,2.6,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Laboratori,NORMALE,P,340,410,lorda,2.3,2.8,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Magazzini,NORMALE,P,300,390,lorda,2.0,2.6,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Negozi,NORMALE,P,750,1040,lorda,4.0,5.1,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Posti auto coperti,,P,290,360,lorda,1.4,1.8,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Posti auto scoperti,,P,200,260,lorda,1.0,1.3,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Uffici,NORMALE,P,650,820,lorda,2.7,3.4,netta
017001,Acquafredda,2004,2,D,D1,BS00000101,Ville e Villini,NORMALE,P,800,1000,lorda,3.7,4.7,netta
017001,Acquafredda,2005,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,700,970,lorda,2.6,3.7,netta
017001,Acquafredda,2005,2,B,B1,BS00000099,Autorimesse,NORMALE,P,510,640,lorda,2.9,3.6,netta
017001,Acquafredda,2005,2,B,B1,BS00000099,Box,NORMALE,P,570,710,lorda,3.2,4.0,netta
017001,Acquafredda,2005,2,B,B1,BS00000099,Negozi,NORMALE,P,970,1190,lorda,5.6,7.0,netta
017001,Acquafredda,2005,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,400,500,lorda,2.2,2.8,netta
017001,Acquafredda,2005,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,290,360,lorda,1.6,1.9,netta
017001,Acquafredda,2005,2,B,B1,BS00000099,Uffici,NORMALE,P,750,1040,lorda,3.1,4.7,netta
017001,Acquafredda,2005,2,D,D1,BS00000101,Abitazioni civili,NORMALE,P,680,880,lorda,3.0,4.1,netta
017001,Acquafredda,2005,2,D,D1,BS00000101,Autorimesse,NORMALE,P,370,460,lorda,1.8,2.3,netta
017001,Acquafredda,2005,2,D,D1,BS00000101,Box,NORMALE,P,410,510,lorda,2.0,2.6,netta
017001,Acquafredda,2005,2,D,D1,BS00000101,Capannoni industriali,NORMALE,P,270,340,lorda,1.6,2.1,netta
