territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",arson,ARSON,13.70
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of art objets,ARTTHEF,2.80
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attacks,ATTACK,0.80
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attempted homicides,ATTEMPHOM,3.60
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bag-snatching,BAGTHEF,25.90
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bank robbery,BANKROB,11.10
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",blows,BLOWS,35.90
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",burglary,BURGTHEF,305.00
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",car theft,CARTHEF,306.20
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",corruption of a minor,CORRUPUN18,0.30
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",counterfeiting of goods and industrial products,COUNTER,2.10
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",criminal association,CRIMASS,1.50
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",culpable injuries,CULPINJU,117.60
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",cybercrime,CYBERCRIM,7.40
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damages,DAMAGE,800.20
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",damage followed by arson,DAMARS,9.20
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",trafficking and drugs possession,DRUG,58.40
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",extortions,EXTORT,5.60
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",forest arson,FOREARS,3.50
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",house robbery,HOUSEROB,4.60
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",infanticides,INFANTHOM,0.00
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intentional homicides,INTENHOM,0.90
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intellectual property violations,INTPROP,9.00
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",kidnappings,KIDNAPP,4.20
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides of mafia,MAFIAHOM,0.00
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mafia criminal association,MAFIASS,0.00
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",manslaughter,MANSHOM,0.00
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mass murder,MASSMURD,0.00
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",menaces,MENACE,135.10
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",money laundering,MONEYLAU,1.90
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",moped theft,MOPETHEF,72.10
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",motorcycle theft,MOTORTHEF,21.50
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",offences,OFFENCE,116.20
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",other crimes,OTHCRIM,652.30
ITC47,2006,"crimes reported by the police forces to the judicial authority (per 100,000 population)",pickpocketing,PICKTHEF,126.70
