id_sensore,id_stazione,stazione,comune,parametro,unita_misura,quota,lat,lng,data_inizio,data_fine
6820,656,Gambara v.Parma,Gambara,Particolato Totale Sospeso,µg/m³,47,45.24955194,10.29913000,1990-02-16,2004-08-10
6782,652,Brescia v.Turati,Brescia,Monossido di Carbonio,mg/m³,154,45.53953611,10.23178722,1999-01-12,
6767,649,Brescia v.Broletto,Brescia,Ozono,µg/m³,149,45.54006456,10.22281989,1983-01-01,2004-02-27
6864,661,Rezzato v.De Gasperi,Rezzato,Ossidi di Azoto,µg/m³,147,45.51571417,10.33624003,1992-08-05,
20570,659,Odolo v.Praes,Odolo,Ozono,µg/m³,349,45.64605175,10.38929672,2023-01-03,
10270,655,Darfo Boario Terme v. De Amicis,Darfo Boario Terme,Ozono,µg/m³,221,45.87460256,10.17736553,2007-01-01,2023-07-12
6801,654,Sarezzo v.Minelli,Sarezzo,Monossido di Carbonio,mg/m³,269,45.64962671,10.20509022,1990-02-18,2023-01-03
6777,651,Brescia v.Triumplina,Brescia,Monossido di Carbonio,mg/m³,175,45.57159144,10.23148892,1999-01-15,2005-10-19
6842,659,Odolo v.Praes,Odolo,Biossido di Zolfo,µg/m³,349,45.64605175,10.38929672,1990-10-08,2004-07-20
12589,669,Brescia Villaggio Sereno,Brescia,Arsenico,ng/m³,70,45.51306214,10.19190606,2008-04-01,
20569,1801,Brescia v.Tartaglia,Brescia,Monossido di Carbonio,mg/m³,151,45.54264789,10.21120522,2023-01-03,
20759,1322,DarfoBT,Darfo Boario Terme,Biossido di Azoto,µg/m³,221,45.87626097,10.17883506,2024-03-07,
6814,656,Gambara v.Parma,Gambara,Biossido di Zolfo,µg/m³,47,45.24955194,10.29913000,1990-02-16,2012-01-04
30158,649,Brescia v.Broletto,Brescia,Particelle sospese PM2.5,µg/m³,149,45.54006456,10.22281989,2013-12-13,
6745,647,Breno v.Don Putelli,Breno,Biossido di Zolfo,µg/m³,342,45.95683656,10.30106589,1992-06-09,2003-11-18
10501,655,Darfo Boario Terme v. De Amicis,Darfo Boario Terme,PM10 (SM2005),µg/m³,221,45.87460256,10.17736553,2008-12-23,2023-07-12
30162,669,Brescia Villaggio Sereno,Brescia,Ossidi di Azoto,µg/m³,70,45.51306214,10.19190606,2013-01-22,
20564,1801,Brescia v.Tartaglia,Brescia,Particelle sospese PM2.5,µg/m³,151,45.54264789,10.21120522,2022-05-25,
6840,658,Manerbio v.Solferino,Manerbio,Ossidi di Azoto,µg/m³,66,45.34995906,10.14475383,1992-08-28,2015-03-03
30160,655,Darfo Boario Terme v. De Amicis,Darfo Boario Terme,Biossido di Azoto,µg/m³,221,45.87460256,10.17736553,2013-12-13,2023-07-12
6775,651,Brescia v.Triumplina,Brescia,Biossido di Azoto,µg/m³,175,45.57159144,10.23148892,1999-01-15,2005-10-19
30163,669,Brescia Villaggio Sereno,Brescia,Biossido di Azoto,µg/m³,70,45.51306214,10.19190606,2013-12-13,
6827,657,Lonato del Garda v.del Marchesino,Lonato del Garda,Biossido di Zolfo,µg/m³,180,45.46375819,10.48078183,1990-02-16,2004-08-18
6748,647,Breno v.Don Putelli,Breno,Ossidi di Azoto,µg/m³,342,45.95683656,10.30106589,1992-06-09,2018-07-30
6791,653,Brescia v.Ziziola,Brescia,Ozono,µg/m³,125,45.51456611,10.21846492,1997-10-15,2018-01-01
10299,653,Brescia v.Ziziola,Brescia,Benzene,µg/m³,125,45.51456611,10.21846492,1997-10-15,2018-07-30
6838,658,Manerbio v.Solferino,Manerbio,Biossido di Zolfo,µg/m³,66,45.34995906,10.14475383,1992-08-27,2003-09-15
6790,653,Brescia v.Ziziola,Brescia,Ossidi di Azoto,µg/m³,125,45.51456611,10.21846492,1997-10-15,2018-07-30
12603,655,Darfo Boario Terme v. De Amicis,Darfo Boario Terme,Cadmio,ng/m³,221,45.87460256,10.17736553,2008-04-18,2025-12-31
6852,660,Ospitaletto v. XXV aprile,Ospitaletto,Biossido di Azoto,µg/m³,155,45.55325867,10.08492175,1990-02-16,2018-07-30
6966,669,Brescia Villaggio Sereno,Brescia,Biossido di Zolfo,µg/m³,70,45.51306214,10.19190606,2004-11-24,
6799,654,Sarezzo v.Minelli,Sarezzo,Biossido di Zolfo,µg/m³,269,45.64962671,10.20509022,1990-02-18,2007-01-30
20753,1322,DarfoBT,Darfo Boario Terme,PM10 (SM2005),µg/m³,221,45.87626097,10.17883506,2024-02-28,
6856,660,Ospitaletto v. XXV aprile,Ospitaletto,Ossidi di Azoto,µg/m³,155,45.55325867,10.08492175,1990-01-01,2018-07-30
20754,1322,DarfoBT,Darfo Boario Terme,Benzene,µg/m³,221,45.87626097,10.17883506,2024-03-08,
6826,657,Lonato del Garda v.del Marchesino,Lonato del Garda,Biossido di Azoto,µg/m³,180,45.46375819,10.48078183,1990-02-16,
9984,669,Brescia Villaggio Sereno,Brescia,Particelle sospese PM2.5,µg/m³,70,45.51306214,10.19190606,2006-06-06,
