territorio,anno,indicatore,sesso,eta,titolo_studio,cittadinanza,valore
ITC47,2018,employment rate,females,15-24 years,total,total,23.31
ITC47,2018,employment rate,females,15-29 years,total,total,40.87
ITC47,2018,employment rate,females,15-34 years,total,total,47.44
ITC47,2018,employment rate,females,15-64 years,total,total,55.04
ITC47,2018,employment rate,females,15-74 years,total,total,47.75
ITC47,2018,employment rate,females,15-89 years,total,total,41.41
ITC47,2018,employment rate,females,18-29 years,total,total,50.58
ITC47,2018,employment rate,females,20-64 years,total,total,59.25
ITC47,2018,employment rate,females,25-34 years,total,total,66.12
ITC47,2018,employment rate,females,35-44 years,total,total,63.69
ITC47,2018,employment rate,females,35-49 years,total,total,64.29
ITC47,2018,employment rate,females,45-54 years,total,total,65.31
ITC47,2018,employment rate,females,50-64 years,total,total,53.13
ITC47,2018,employment rate,females,50-74 years,total,total,36.92
ITC47,2018,employment rate,females,50-89 years,total,total,27.30
ITC47,2018,employment rate,females,55-64 years,total,total,43.88
ITC47,2018,employment rate,males,15-24 years,total,total,31.12
ITC47,2018,employment rate,males,15-29 years,total,total,48.80
ITC47,2018,employment rate,males,15-34 years,total,total,61.06
ITC47,2018,employment rate,males,15-64 years,total,total,78.35
ITC47,2018,employment rate,males,15-74 years,total,total,69.39
ITC47,2018,employment rate,males,15-89 years,total,total,62.91
ITC47,2018,employment rate,males,18-29 years,total,total,61.58
ITC47,2018,employment rate,males,20-64 years,total,total,84.56
ITC47,2018,employment rate,males,25-34 years,total,total,93.23
ITC47,2018,employment rate,males,35-44 years,total,total,96.14
ITC47,2018,employment rate,males,35-49 years,total,total,93.84
ITC47,2018,employment rate,males,45-54 years,total,total,90.27
ITC47,2018,employment rate,males,50-64 years,total,total,77.65
ITC47,2018,employment rate,males,50-74 years,total,total,56.38
ITC47,2018,employment rate,males,50-89 years,total,total,45.36
ITC47,2018,employment rate,males,55-64 years,total,total,67.15
ITC47,2018,employment rate,total,15-24 years,total,total,27.50
ITC47,2018,employment rate,total,15-29 years,total,total,44.95
ITC47,2018,employment rate,total,15-34 years,total,total,54.17
ITC47,2018,employment rate,total,15-64 years,total,total,66.85
ITC47,2018,employment rate,total,15-74 years,total,total,58.63
ITC47,2018,employment rate,total,15-89 years,total,total,52.00
ITC47,2018,employment rate,total,18-29 years,total,total,56.18
ITC47,2018,employment rate,total,20-64 years,total,total,72.03
ITC47,2018,employment rate,total,25-34 years,total,total,78.45
ITC47,2018,employment rate,total,35-44 years,total,total,81.55
ITC47,2018,employment rate,total,35-49 years,total,total,79.78
ITC47,2018,employment rate,total,45-54 years,total,total,77.41
ITC47,2018,employment rate,total,50-64 years,total,total,65.41
ITC47,2018,employment rate,total,50-74 years,total,total,46.54
ITC47,2018,employment rate,total,50-89 years,total,total,35.88
ITC47,2018,employment rate,total,55-64 years,total,total,55.59
ITC47,2019,employment rate,females,15-24 years,total,total,27.91
ITC47,2019,employment rate,females,15-29 years,total,total,43.69
ITC47,2019,employment rate,females,15-34 years,total,total,49.74
ITC47,2019,employment rate,females,15-64 years,total,total,56.34
ITC47,2019,employment rate,females,15-74 years,total,total,48.59
ITC47,2019,employment rate,females,15-89 years,total,total,42.28
ITC47,2019,employment rate,females,18-29 years,total,total,53.44
ITC47,2019,employment rate,females,20-64 years,total,total,60.25
ITC47,2019,employment rate,females,25-34 years,total,total,64.89
ITC47,2019,employment rate,females,35-44 years,total,total,65.97
ITC47,2019,employment rate,females,35-49 years,total,total,67.94
ITC47,2019,employment rate,females,45-54 years,total,total,70.22
ITC47,2019,employment rate,females,50-64 years,total,total,51.77
ITC47,2019,employment rate,females,50-74 years,total,total,35.67
ITC47,2019,employment rate,females,50-89 years,total,total,26.72
ITC47,2019,employment rate,females,55-64 years,total,total,39.76
ITC47,2019,employment rate,males,15-24 years,total,total,34.89
ITC47,2019,employment rate,males,15-29 years,total,total,47.49
ITC47,2019,employment rate,males,15-34 years,total,total,59.06
ITC47,2019,employment rate,males,15-64 years,total,total,77.99
ITC47,2019,employment rate,males,15-74 years,total,total,69.04
ITC47,2019,employment rate,males,15-89 years,total,total,62.57
ITC47,2019,employment rate,males,18-29 years,total,total,59.71
ITC47,2019,employment rate,males,20-64 years,total,total,83.60
ITC47,2019,employment rate,males,25-34 years,total,total,87.57
ITC47,2019,employment rate,males,35-44 years,total,total,95.09
ITC47,2019,employment rate,males,35-49 years,total,total,93.19
ITC47,2019,employment rate,males,45-54 years,total,total,91.92
ITC47,2019,employment rate,males,50-64 years,total,total,79.72
ITC47,2019,employment rate,males,50-74 years,total,total,58.05
ITC47,2019,employment rate,males,50-89 years,total,total,46.78
ITC47,2019,employment rate,males,55-64 years,total,total,70.99
ITC47,2019,employment rate,total,15-24 years,total,total,31.83
ITC47,2019,employment rate,total,15-29 years,total,total,45.65
ITC47,2019,employment rate,total,15-34 years,total,total,54.32
