codice_istat,comune,anno,tipo_struttura,cittadinanza,arrivi,presenze,permanenza_media,stato
017002,Adro,2019,Es. Alberghieri,Italiani,,,,riservato
017002,Adro,2019,Es. Alberghieri,Stranieri,,,,riservato
017002,Adro,2019,Es. Alberghieri,Totale,,,,riservato
017002,Adro,2019,Es. Extra-Alberghieri,Italiani,,,,riservato
017002,Adro,2019,Es. Extra-Alberghieri,Stranieri,,,,riservato
017002,Adro,2019,Es. Extra-Alberghieri,Totale,,,,riservato
017002,Adro,2019,Totale,Italiani,441,1692,3.80,osservato
017002,Adro,2019,Totale,Stranieri,122,1464,12.00,osservato
017002,Adro,2019,Totale,Totale,563,3156,5.60,osservato
017002,Adro,2020,Es. Extra-Alberghieri,Italiani,415,1816,4.40,osservato
017002,Adro,2020,Es. Extra-Alberghieri,Stranieri,206,5195,25.20,osservato
017002,Adro,2020,Es. Extra-Alberghieri,Totale,621,7011,11.30,osservato
017002,Adro,2020,Totale,Italiani,415,1816,4.40,osservato
017002,Adro,2020,Totale,Stranieri,206,5195,25.20,osservato
017002,Adro,2020,Totale,Totale,621,7011,11.30,osservato
017002,Adro,2021,Es. Alberghieri,Italiani,,,,riservato
017002,Adro,2021,Es. Alberghieri,Stranieri,,,,riservato
017002,Adro,2021,Es. Alberghieri,Totale,,,,riservato
017002,Adro,2021,Es. Extra-Alberghieri,Italiani,565,1544,2.70,osservato
017002,Adro,2021,Es. Extra-Alberghieri,Stranieri,267,4980,18.70,osservato
017002,Adro,2021,Es. Extra-Alberghieri,Totale,832,6524,7.80,osservato
017002,Adro,2021,Totale,Italiani,565,1544,2.70,osservato
017002,Adro,2021,Totale,Stranieri,267,4980,18.70,osservato
017002,Adro,2021,Totale,Totale,832,6524,7.80,osservato
017002,Adro,2022,Es. Alberghieri,Italiani,,,,riservato
017002,Adro,2022,Es. Alberghieri,Stranieri,,,,riservato
017002,Adro,2022,Es. Alberghieri,Totale,,,,riservato
017002,Adro,2022,Es. Extra-Alberghieri,Italiani,902,2199,2.40,osservato
017002,Adro,2022,Es. Extra-Alberghieri,Stranieri,403,6559,16.30,osservato
017002,Adro,2022,Es. Extra-Alberghieri,Totale,1305,8758,6.70,osservato
017002,Adro,2022,Totale,Italiani,902,2199,2.40,osservato
017002,Adro,2022,Totale,Stranieri,403,6559,16.30,osservato
017002,Adro,2022,Totale,Totale,1305,8758,6.70,osservato
017002,Adro,2023,Es. Alberghieri,Italiani,,,,riservato
017002,Adro,2023,Es. Alberghieri,Stranieri,,,,riservato
017002,Adro,2023,Es. Alberghieri,Totale,,,,riservato
017002,Adro,2023,Es. Extra-Alberghieri,Italiani,,,,riservato
017002,Adro,2023,Es. Extra-Alberghieri,Stranieri,,,,riservato
017002,Adro,2023,Es. Extra-Alberghieri,Totale,,,,riservato
017002,Adro,2023,Totale,Italiani,1548,4143,2.70,osservato
017002,Adro,2023,Totale,Stranieri,782,11293,14.40,osservato
017002,Adro,2023,Totale,Totale,2330,15436,6.60,osservato
017002,Adro,2024,Es. Alberghieri,Italiani,,,,riservato
017002,Adro,2024,Es. Alberghieri,Stranieri,,,,riservato
017002,Adro,2024,Es. Alberghieri,Totale,,,,riservato
017002,Adro,2024,Es. Extra-Alberghieri,Italiani,,,,riservato
017002,Adro,2024,Es. Extra-Alberghieri,Stranieri,,,,riservato
017002,Adro,2024,Es. Extra-Alberghieri,Totale,,,,riservato
017002,Adro,2024,Totale,Italiani,2196,4255,1.94,osservato
017002,Adro,2024,Totale,Stranieri,1233,15902,12.90,osservato
017002,Adro,2024,Totale,Totale,3429,20157,5.88,osservato
017003,Agnosine,2019,Es. Alberghieri,Italiani,,,,riservato
017003,Agnosine,2019,Es. Alberghieri,Stranieri,,,,riservato
017003,Agnosine,2019,Es. Alberghieri,Totale,,,,riservato
017003,Agnosine,2019,Es. Extra-Alberghieri,Italiani,,,,riservato
017003,Agnosine,2019,Es. Extra-Alberghieri,Stranieri,,,,riservato
017003,Agnosine,2019,Es. Extra-Alberghieri,Totale,,,,riservato
017003,Agnosine,2019,Totale,Italiani,,,,riservato
017003,Agnosine,2019,Totale,Stranieri,,,,riservato
017003,Agnosine,2019,Totale,Totale,,,,riservato
017003,Agnosine,2022,Es. Alberghieri,Italiani,,,,riservato
017003,Agnosine,2022,Es. Alberghieri,Stranieri,,,,riservato
017003,Agnosine,2022,Es. Alberghieri,Totale,,,,riservato
017003,Agnosine,2022,Es. Extra-Alberghieri,Italiani,,,,riservato
017003,Agnosine,2022,Es. Extra-Alberghieri,Stranieri,,,,riservato
017003,Agnosine,2022,Es. Extra-Alberghieri,Totale,,,,riservato
017003,Agnosine,2022,Totale,Italiani,,,,riservato
017003,Agnosine,2022,Totale,Stranieri,,,,riservato
017003,Agnosine,2022,Totale,Totale,,,,riservato
017003,Agnosine,2024,Es. Alberghieri,Italiani,,,,riservato
017003,Agnosine,2024,Es. Alberghieri,Stranieri,,,,riservato
017003,Agnosine,2024,Es. Alberghieri,Totale,,,,riservato
017003,Agnosine,2024,Es. Extra-Alberghieri,Italiani,,,,riservato
017003,Agnosine,2024,Es. Extra-Alberghieri,Stranieri,,,,riservato
017003,Agnosine,2024,Es. Extra-Alberghieri,Totale,,,,riservato
017003,Agnosine,2024,Totale,Italiani,,,,riservato
017003,Agnosine,2024,Totale,Stranieri,,,,riservato
017003,Agnosine,2024,Totale,Totale,,,,riservato
017005,Anfo,2019,Es. Alberghieri,Italiani,,,,riservato
017005,Anfo,2019,Es. Alberghieri,Stranieri,,,,riservato
017005,Anfo,2019,Es. Alberghieri,Totale,,,,riservato
017005,Anfo,2019,Es. Extra-Alberghieri,Italiani,,,,riservato
017005,Anfo,2019,Es. Extra-Alberghieri,Stranieri,,,,riservato
017005,Anfo,2019,Es. Extra-Alberghieri,Totale,,,,riservato
017005,Anfo,2019,Totale,Italiani,1130,3090,2.70,osservato
017005,Anfo,2019,Totale,Stranieri,2168,10997,5.10,osservato
017005,Anfo,2019,Totale,Totale,3298,14087,4.30,osservato
017005,Anfo,2020,Es. Alberghieri,Italiani,,,,riservato
017005,Anfo,2020,Es. Alberghieri,Stranieri,,,,riservato
017005,Anfo,2020,Es. Alberghieri,Totale,,,,riservato
017005,Anfo,2020,Es. Extra-Alberghieri,Italiani,,,,riservato
017005,Anfo,2020,Es. Extra-Alberghieri,Stranieri,,,,riservato
