codice_istat,comune,mese,arrivi,presenze,permanenza_media
017002,Adro,2019-01,70,252,3.60
017002,Adro,2019-02,63,135,2.10
017002,Adro,2019-03,33,67,2.00
017002,Adro,2019-04,42,109,2.60
017002,Adro,2019-05,58,147,2.50
017002,Adro,2019-06,51,138,2.70
017002,Adro,2019-07,40,151,3.80
017002,Adro,2019-08,34,171,5.00
017002,Adro,2019-09,73,304,4.20
017002,Adro,2019-10,28,608,21.70
017002,Adro,2019-11,52,316,6.10
017002,Adro,2019-12,19,758,31.00
017002,Adro,2020-01,74,516,7.00
017002,Adro,2020-02,56,718,12.80
017002,Adro,2020-03,23,619,26.90
017002,Adro,2020-04,0,690,0.00
017002,Adro,2020-05,40,788,19.70
017002,Adro,2020-06,34,571,16.80
017002,Adro,2020-07,47,136,2.90
017002,Adro,2020-08,105,1007,9.60
017002,Adro,2020-09,85,607,7.10
017002,Adro,2020-10,58,465,8.00
017002,Adro,2020-11,42,398,9.50
017002,Adro,2020-12,57,496,8.70
017002,Adro,2021-01,63,737,11.70
017002,Adro,2021-02,82,810,9.90
017002,Adro,2021-03,65,868,13.40
017002,Adro,2021-04,40,126,3.20
017002,Adro,2021-05,69,751,10.90
017002,Adro,2021-06,74,908,12.30
017002,Adro,2021-07,75,188,2.50
017002,Adro,2021-08,85,185,2.20
017002,Adro,2021-09,109,742,6.80
017002,Adro,2021-10,91,900,9.90
017002,Adro,2021-11,38,154,4.10
017002,Adro,2021-12,41,155,3.80
017002,Adro,2022-01,84,840,10.00
017002,Adro,2022-02,112,962,8.60
017002,Adro,2022-03,117,1113,9.50
017002,Adro,2022-04,82,210,2.60
017002,Adro,2022-05,191,1191,6.20
017002,Adro,2022-06,140,949,6.80
017002,Adro,2022-07,100,265,2.70
017002,Adro,2022-08,124,765,6.20
017002,Adro,2022-09,166,1086,6.50
017002,Adro,2022-10,86,1086,12.60
017002,Adro,2022-11,50,181,3.60
017002,Adro,2022-12,53,110,2.10
017002,Adro,2023-01,168,1122,6.70
017002,Adro,2023-02,183,1354,7.40
017002,Adro,2023-03,210,1131,5.40
017002,Adro,2023-04,252,765,3.00
017002,Adro,2023-05,209,1743,8.30
017002,Adro,2023-06,226,1783,7.90
017002,Adro,2023-07,224,1107,4.90
017002,Adro,2023-08,176,1619,9.20
017002,Adro,2023-09,270,2205,8.20
017002,Adro,2023-10,131,1493,11.40
017002,Adro,2023-11,167,543,3.30
017002,Adro,2023-12,114,571,5.00
017002,Adro,2024-01,182,1499,8.20
017002,Adro,2024-02,209,1596,7.60
017002,Adro,2024-03,164,1626,9.90
017002,Adro,2024-04,346,1445,4.20
017002,Adro,2024-05,373,2048,5.50
017002,Adro,2024-06,338,2210,6.50
017002,Adro,2024-07,335,1032,3.10
017002,Adro,2024-08,335,2095,6.30
017002,Adro,2024-09,364,2433,6.70
017002,Adro,2024-10,376,1916,5.10
017002,Adro,2024-11,201,1170,5.80
017002,Adro,2024-12,206,1087,5.30
017005,Anfo,2019-01,0,0,0.00
017005,Anfo,2019-02,0,0,0.00
017005,Anfo,2019-03,0,0,0.00
017005,Anfo,2019-04,140,284,2.00
017005,Anfo,2019-05,177,451,2.50
017005,Anfo,2019-06,749,2252,3.00
017005,Anfo,2019-07,916,4721,5.20
017005,Anfo,2019-08,1033,5398,5.20
017005,Anfo,2019-09,270,938,3.50
017005,Anfo,2019-10,12,42,3.50
017005,Anfo,2019-11,0,0,0.00
017005,Anfo,2019-12,1,1,1.00
017005,Anfo,2020-01,0,0,0.00
017005,Anfo,2020-02,3,3,1.00
017005,Anfo,2020-03,0,0,0.00
017005,Anfo,2020-04,0,0,0.00
017005,Anfo,2020-05,10,10,1.00
017005,Anfo,2020-06,192,377,2.00
017005,Anfo,2020-07,556,2157,3.90
017005,Anfo,2020-08,1048,4243,4.00
017005,Anfo,2020-09,514,855,1.70
017005,Anfo,2020-10,10,29,2.90
017005,Anfo,2020-11,0,0,0.00
017005,Anfo,2020-12,0,0,0.00
017005,Anfo,2021-01,0,0,0.00
017005,Anfo,2021-02,0,0,0.00
017005,Anfo,2021-03,0,0,0.00
017005,Anfo,2021-04,0,0,0.00
017005,Anfo,2021-05,278,694,2.50
017005,Anfo,2021-06,1303,3620,2.80
017005,Anfo,2021-07,2556,11471,4.50
017005,Anfo,2021-08,3016,16490,5.50
017005,Anfo,2021-09,1446,4912,3.40
017005,Anfo,2021-10,172,260,1.50
017005,Anfo,2021-11,97,117,1.20
017005,Anfo,2021-12,193,274,1.40
017005,Anfo,2022-01,20,135,6.80
017005,Anfo,2022-02,8,10,1.30
017005,Anfo,2022-04,791,2255,2.90
017005,Anfo,2022-05,1171,3672,3.10
017005,Anfo,2022-06,2845,11240,4.00
017005,Anfo,2022-07,3136,16288,5.20
017005,Anfo,2022-08,2633,17797,6.80
017005,Anfo,2022-09,1744,7413,4.30
017005,Anfo,2022-10,632,2050,3.20
017005,Anfo,2022-11,3,177,31.00
017005,Anfo,2022-12,251,611,2.40
017005,Anfo,2023-01,3,62,20.70
017005,Anfo,2023-02,7,15,2.10
017005,Anfo,2023-03,33,62,1.90
017005,Anfo,2023-04,1336,3706,2.80
017005,Anfo,2023-05,1299,4405,3.40
017005,Anfo,2023-06,2264,9523,4.20
017005,Anfo,2023-07,2907,15022,5.20
017005,Anfo,2023-08,2936,18854,6.40
017005,Anfo,2023-09,2060,7659,3.70
017005,Anfo,2023-10,694,2360,3.40
017005,Anfo,2023-11,32,230,7.20
017005,Anfo,2023-12,378,802,2.10
017005,Anfo,2024-01,32,144,4.50
