codice_nuts3,codice_provincia,territorio,regione,livello,anno,tipologia,residenza,indicatore,valore,stato
IT,,Italia,,italia,2008,alberghiero,Italia,arrivi,43498154,osservato
IT,,Italia,,italia,2009,alberghiero,Italia,arrivi,43698082,osservato
IT,,Italia,,italia,2010,alberghiero,Italia,arrivi,44353731,osservato
IT,,Italia,,italia,2011,alberghiero,Italia,arrivi,45072135,osservato
IT,,Italia,,italia,2012,alberghiero,Italia,arrivi,43777264,osservato
IT,,Italia,,italia,2013,alberghiero,Italia,arrivi,42650052,osservato
IT,,Italia,,italia,2014,alberghiero,Italia,arrivi,43470802,osservato
IT,,Italia,,italia,2015,alberghiero,Italia,arrivi,45922163,osservato
IT,,Italia,,italia,2016,alberghiero,Italia,arrivi,46850959,osservato
IT,,Italia,,italia,2017,alberghiero,Italia,arrivi,48425025,osservato
IT,,Italia,,italia,2018,alberghiero,Italia,arrivi,49948206,osservato
IT,,Italia,,italia,2019,alberghiero,Italia,arrivi,50421984,osservato
IT,,Italia,,italia,2020,alberghiero,Italia,arrivi,28021318,osservato
IT,,Italia,,italia,2021,alberghiero,Italia,arrivi,37612304,osservato
IT,,Italia,,italia,2022,alberghiero,Italia,arrivi,46766343,osservato
IT,,Italia,,italia,2023,alberghiero,Italia,arrivi,48183066,osservato
IT,,Italia,,italia,2024,alberghiero,Italia,arrivi,47500214,osservato
IT,,Italia,,italia,2025,alberghiero,Italia,arrivi,47976031,osservato
IT,,Italia,,italia,2008,alberghiero,estero,arrivi,33666586,osservato
IT,,Italia,,italia,2009,alberghiero,estero,arrivi,32632696,osservato
IT,,Italia,,italia,2010,alberghiero,estero,arrivi,35020415,osservato
IT,,Italia,,italia,2011,alberghiero,estero,arrivi,37983634,osservato
IT,,Italia,,italia,2012,alberghiero,estero,arrivi,38867517,osservato
IT,,Italia,,italia,2013,alberghiero,estero,arrivi,39989184,osservato
IT,,Italia,,italia,2014,alberghiero,estero,arrivi,40769577,osservato
IT,,Italia,,italia,2015,alberghiero,estero,arrivi,43097433,osservato
IT,,Italia,,italia,2016,alberghiero,estero,arrivi,43405265,osservato
IT,,Italia,,italia,2017,alberghiero,estero,arrivi,45365143,osservato
IT,,Italia,,italia,2018,alberghiero,estero,arrivi,46824639,osservato
IT,,Italia,,italia,2019,alberghiero,estero,arrivi,47376634,osservato
IT,,Italia,,italia,2020,alberghiero,estero,arrivi,11005556,osservato
IT,,Italia,,italia,2021,alberghiero,estero,arrivi,17107365,osservato
IT,,Italia,,italia,2022,alberghiero,estero,arrivi,36609132,osservato
IT,,Italia,,italia,2023,alberghiero,estero,arrivi,45493109,osservato
IT,,Italia,,italia,2024,alberghiero,estero,arrivi,48867778,osservato
IT,,Italia,,italia,2025,alberghiero,estero,arrivi,50838483,osservato
IT,,Italia,,italia,2008,alberghiero,totale,arrivi,77164740,osservato
IT,,Italia,,italia,2009,alberghiero,totale,arrivi,76330778,osservato
IT,,Italia,,italia,2010,alberghiero,totale,arrivi,79374146,osservato
IT,,Italia,,italia,2011,alberghiero,totale,arrivi,83055769,osservato
IT,,Italia,,italia,2012,alberghiero,totale,arrivi,82644781,osservato
IT,,Italia,,italia,2013,alberghiero,totale,arrivi,82639236,osservato
IT,,Italia,,italia,2014,alberghiero,totale,arrivi,84240379,osservato
IT,,Italia,,italia,2015,alberghiero,totale,arrivi,89019596,osservato
IT,,Italia,,italia,2016,alberghiero,totale,arrivi,90256224,osservato
IT,,Italia,,italia,2017,alberghiero,totale,arrivi,93790168,osservato
IT,,Italia,,italia,2018,alberghiero,totale,arrivi,96772845,osservato
IT,,Italia,,italia,2019,alberghiero,totale,arrivi,97798618,osservato
IT,,Italia,,italia,2020,alberghiero,totale,arrivi,39026874,osservato
IT,,Italia,,italia,2021,alberghiero,totale,arrivi,54719669,osservato
IT,,Italia,,italia,2022,alberghiero,totale,arrivi,83375475,osservato
IT,,Italia,,italia,2023,alberghiero,totale,arrivi,93676175,osservato
IT,,Italia,,italia,2024,alberghiero,totale,arrivi,96367992,osservato
IT,,Italia,,italia,2025,alberghiero,totale,arrivi,98814514,osservato
IT,,Italia,,italia,2008,alloggi in affitto,Italia,arrivi,2219432,osservato
IT,,Italia,,italia,2009,alloggi in affitto,Italia,arrivi,2300905,osservato
IT,,Italia,,italia,2010,alloggi in affitto,Italia,arrivi,2360148,osservato
IT,,Italia,,italia,2011,alloggi in affitto,Italia,arrivi,2443909,osservato
IT,,Italia,,italia,2012,alloggi in affitto,Italia,arrivi,2521271,osservato
IT,,Italia,,italia,2013,alloggi in affitto,Italia,arrivi,2525866,osservato
IT,,Italia,,italia,2014,alloggi in affitto,Italia,arrivi,2695857,osservato
IT,,Italia,,italia,2015,alloggi in affitto,Italia,arrivi,3050163,osservato
IT,,Italia,,italia,2016,alloggi in affitto,Italia,arrivi,3552876,osservato
IT,,Italia,,italia,2017,alloggi in affitto,Italia,arrivi,4120403,osservato
IT,,Italia,,italia,2018,alloggi in affitto,Italia,arrivi,4566570,osservato
IT,,Italia,,italia,2019,alloggi in affitto,Italia,arrivi,5012091,osservato
IT,,Italia,,italia,2020,alloggi in affitto,Italia,arrivi,3490661,osservato
IT,,Italia,,italia,2021,alloggi in affitto,Italia,arrivi,4786238,osservato
IT,,Italia,,italia,2022,alloggi in affitto,Italia,arrivi,5975242,osservato
IT,,Italia,,italia,2023,alloggi in affitto,Italia,arrivi,6597638,osservato
IT,,Italia,,italia,2024,alloggi in affitto,Italia,arrivi,7330664,osservato
IT,,Italia,,italia,2025,alloggi in affitto,Italia,arrivi,13261607,definizione_cambiata
IT,,Italia,,italia,2008,alloggi in affitto,estero,arrivi,2234333,osservato
IT,,Italia,,italia,2009,alloggi in affitto,estero,arrivi,2322573,osservato
IT,,Italia,,italia,2010,alloggi in affitto,estero,arrivi,2490456,osservato
IT,,Italia,,italia,2011,alloggi in affitto,estero,arrivi,2756428,osservato
IT,,Italia,,italia,2012,alloggi in affitto,estero,arrivi,2964612,osservato
IT,,Italia,,italia,2013,alloggi in affitto,estero,arrivi,3186350,osservato
IT,,Italia,,italia,2014,alloggi in affitto,estero,arrivi,3412223,osservato
IT,,Italia,,italia,2015,alloggi in affitto,estero,arrivi,4016215,osservato
