anno,anno_tipo,ateneo_codice,ateneo,sesso,indicatore,valore
1998,accademico,1001,Genova,F,immatricolati,3105
1998,accademico,1001,Genova,M,immatricolati,2490
1999,accademico,1001,Genova,F,immatricolati,2861
1999,accademico,1001,Genova,M,immatricolati,2435
2000,accademico,1001,Genova,F,immatricolati,3027
2000,accademico,1001,Genova,M,immatricolati,2432
2001,accademico,1001,Genova,F,immatricolati,2539
2001,accademico,1001,Genova,M,immatricolati,2430
2002,accademico,1001,Genova,F,immatricolati,3002
2002,accademico,1001,Genova,M,immatricolati,2534
2003,accademico,1001,Genova,F,immatricolati,3471
2003,accademico,1001,Genova,M,immatricolati,2598
2004,accademico,1001,Genova,F,immatricolati,3558
2004,accademico,1001,Genova,M,immatricolati,2743
2005,accademico,1001,Genova,F,immatricolati,3336
2005,accademico,1001,Genova,M,immatricolati,2565
2006,accademico,1001,Genova,F,immatricolati,3275
2006,accademico,1001,Genova,M,immatricolati,2484
2007,accademico,1001,Genova,F,immatricolati,3370
2007,accademico,1001,Genova,M,immatricolati,2607
2008,accademico,1001,Genova,F,immatricolati,3457
2008,accademico,1001,Genova,M,immatricolati,2593
2009,accademico,1001,Genova,F,immatricolati,3587
2009,accademico,1001,Genova,M,immatricolati,2807
2010,accademico,1001,Genova,F,immatricolati,3467
2010,accademico,1001,Genova,M,immatricolati,2715
2011,accademico,1001,Genova,F,immatricolati,3265
2011,accademico,1001,Genova,M,immatricolati,2746
2012,accademico,1001,Genova,F,immatricolati,2960
2012,accademico,1001,Genova,M,immatricolati,2407
2013,accademico,1001,Genova,F,immatricolati,3000
2013,accademico,1001,Genova,M,immatricolati,2589
2014,accademico,1001,Genova,F,immatricolati,2960
2014,accademico,1001,Genova,M,immatricolati,2561
2015,accademico,1001,Genova,F,immatricolati,2923
2015,accademico,1001,Genova,M,immatricolati,2561
2016,accademico,1001,Genova,F,immatricolati,2968
2016,accademico,1001,Genova,M,immatricolati,2477
2017,accademico,1001,Genova,F,immatricolati,2989
2017,accademico,1001,Genova,M,immatricolati,2445
2018,accademico,1001,Genova,F,immatricolati,3017
2018,accademico,1001,Genova,M,immatricolati,2591
2019,accademico,1001,Genova,F,immatricolati,3215
2019,accademico,1001,Genova,M,immatricolati,2605
2020,accademico,1001,Genova,F,immatricolati,4089
2020,accademico,1001,Genova,M,immatricolati,3177
2021,accademico,1001,Genova,F,immatricolati,3319
2021,accademico,1001,Genova,M,immatricolati,2838
2022,accademico,1001,Genova,F,immatricolati,3138
2022,accademico,1001,Genova,M,immatricolati,2683
2023,accademico,1001,Genova,F,immatricolati,3188
2023,accademico,1001,Genova,M,immatricolati,2704
2024,accademico,1001,Genova,F,immatricolati,3270
2024,accademico,1001,Genova,M,immatricolati,2678
2025,accademico,1001,Genova,F,immatricolati,3324
2025,accademico,1001,Genova,M,immatricolati,2945
2000,accademico,1001,Genova,F,iscritti,19274
2000,accademico,1001,Genova,M,iscritti,16427
2001,accademico,1001,Genova,F,iscritti,18931
2001,accademico,1001,Genova,M,iscritti,16072
2002,accademico,1001,Genova,F,iscritti,18851
2002,accademico,1001,Genova,M,iscritti,15672
2003,accademico,1001,Genova,F,iscritti,19740
2003,accademico,1001,Genova,M,iscritti,15873
2004,accademico,1001,Genova,F,iscritti,19803
2004,accademico,1001,Genova,M,iscritti,15837
2005,accademico,1001,Genova,F,iscritti,19795
2005,accademico,1001,Genova,M,iscritti,15434
2006,accademico,1001,Genova,F,iscritti,20106
2006,accademico,1001,Genova,M,iscritti,15388
2007,accademico,1001,Genova,F,iscritti,19907
2007,accademico,1001,Genova,M,iscritti,15204
2008,accademico,1001,Genova,F,iscritti,19894
2008,accademico,1001,Genova,M,iscritti,15206
2009,accademico,1001,Genova,F,iscritti,19960
2009,accademico,1001,Genova,M,iscritti,15120
2010,accademico,1001,Genova,F,iscritti,22013
2010,accademico,1001,Genova,M,iscritti,16813
2011,accademico,1001,Genova,F,iscritti,21178
2011,accademico,1001,Genova,M,iscritti,16404
2012,accademico,1001,Genova,F,iscritti,19591
2012,accademico,1001,Genova,M,iscritti,15395
2013,accademico,1001,Genova,F,iscritti,18620
2013,accademico,1001,Genova,M,iscritti,14974
2014,accademico,1001,Genova,F,iscritti,18233
2014,accademico,1001,Genova,M,iscritti,14785
2015,accademico,1001,Genova,F,iscritti,17577
2015,accademico,1001,Genova,M,iscritti,14463
2016,accademico,1001,Genova,F,iscritti,17552
2016,accademico,1001,Genova,M,iscritti,14490
2017,accademico,1001,Genova,F,iscritti,17739
2017,accademico,1001,Genova,M,iscritti,14686
2018,accademico,1001,Genova,F,iscritti,17027
2018,accademico,1001,Genova,M,iscritti,13709
2019,accademico,1001,Genova,F,iscritti,17229
2019,accademico,1001,Genova,M,iscritti,13756
2020,accademico,1001,Genova,F,iscritti,18288
2020,accademico,1001,Genova,M,iscritti,14299
2021,accademico,1001,Genova,F,iscritti,18101
2021,accademico,1001,Genova,M,iscritti,14116
2022,accademico,1001,Genova,F,iscritti,17858
2022,accademico,1001,Genova,M,iscritti,13772
2023,accademico,1001,Genova,F,iscritti,17973
2023,accademico,1001,Genova,M,iscritti,13944
2024,accademico,1001,Genova,F,iscritti,17959
2024,accademico,1001,Genova,M,iscritti,14017
2001,solare,1001,Genova,F,laureati,2418
2001,solare,1001,Genova,M,laureati,1985
2002,solare,1001,Genova,F,laureati,2509
2002,solare,1001,Genova,M,laureati,2098
2003,solare,1001,Genova,F,laureati,2785
2003,solare,1001,Genova,M,laureati,2289
2004,solare,1001,Genova,F,laureati,3214
2004,solare,1001,Genova,M,laureati,2367
2005,solare,1001,Genova,F,laureati,3323
2005,solare,1001,Genova,M,laureati,2494
2006,solare,1001,Genova,F,laureati,3356
2006,solare,1001,Genova,M,laureati,2517
2007,solare,1001,Genova,F,laureati,3288
2007,solare,1001,Genova,M,laureati,2379
2008,solare,1001,Genova,F,laureati,3340
2008,solare,1001,Genova,M,laureati,2367
2009,solare,1001,Genova,F,laureati,3463
2009,solare,1001,Genova,M,laureati,2499
2010,solare,1001,Genova,F,laureati,3394
2010,solare,1001,Genova,M,laureati,2396
2011,solare,1001,Genova,F,laureati,3375
2011,solare,1001,Genova,M,laureati,2541
2012,solare,1001,Genova,F,laureati,3666
2012,solare,1001,Genova,M,laureati,2497
2013,solare,1001,Genova,F,laureati,3702
2013,solare,1001,Genova,M,laureati,2591
2014,solare,1001,Genova,F,laureati,3673
2014,solare,1001,Genova,M,laureati,2564
2015,solare,1001,Genova,F,laureati,3410
2015,solare,1001,Genova,M,laureati,2515
2016,solare,1001,Genova,F,laureati,3400
2016,solare,1001,Genova,M,laureati,2580
2017,solare,1001,Genova,F,laureati,3316
2017,solare,1001,Genova,M,laureati,2469
2018,solare,1001,Genova,F,laureati,3435
2018,solare,1001,Genova,M,laureati,2610
2019,solare,1001,Genova,F,laureati,3326
2019,solare,1001,Genova,M,laureati,2482
2020,solare,1001,Genova,F,laureati,3229
2020,solare,1001,Genova,M,laureati,2468
2021,solare,1001,Genova,F,laureati,3425
2021,solare,1001,Genova,M,laureati,2412
2022,solare,1001,Genova,F,laureati,3032
2022,solare,1001,Genova,M,laureati,2238
2023,solare,1001,Genova,F,laureati,3254
2023,solare,1001,Genova,M,laureati,2361
2024,solare,1001,Genova,F,laureati,3499
2024,solare,1001,Genova,M,laureati,2518
2025,solare,1001,Genova,F,laureati,3373
2025,solare,1001,Genova,M,laureati,2480
1998,accademico,101,Torino,F,immatricolati,5755
1998,accademico,101,Torino,M,immatricolati,3583
1999,accademico,101,Torino,F,immatricolati,6182
1999,accademico,101,Torino,M,immatricolati,3888
2000,accademico,101,Torino,F,immatricolati,6174
2000,accademico,101,Torino,M,immatricolati,3988
2001,accademico,101,Torino,F,immatricolati,7852
2001,accademico,101,Torino,M,immatricolati,5123
2002,accademico,101,Torino,F,immatricolati,7675
2002,accademico,101,Torino,M,immatricolati,5052
2003,accademico,101,Torino,F,immatricolati,7086
2003,accademico,101,Torino,M,immatricolati,4347
2004,accademico,101,Torino,F,immatricolati,7175
2004,accademico,101,Torino,M,immatricolati,4298
2005,accademico,101,Torino,F,immatricolati,6717
2005,accademico,101,Torino,M,immatricolati,4098
2006,accademico,101,Torino,F,immatricolati,6900
2006,accademico,101,Torino,M,immatricolati,4040
2007,accademico,101,Torino,F,immatricolati,7399
2007,accademico,101,Torino,M,immatricolati,4715
2008,accademico,101,Torino,F,immatricolati,6883
2008,accademico,101,Torino,M,immatricolati,4120
2009,accademico,101,Torino,F,immatricolati,6827
2009,accademico,101,Torino,M,immatricolati,4111
2010,accademico,101,Torino,F,immatricolati,6881
2010,accademico,101,Torino,M,immatricolati,4223
2011,accademico,101,Torino,F,immatricolati,6696
2011,accademico,101,Torino,M,immatricolati,4067
2012,accademico,101,Torino,F,immatricolati,6817
2012,accademico,101,Torino,M,immatricolati,4003
2013,accademico,101,Torino,F,immatricolati,6558
2013,accademico,101,Torino,M,immatricolati,4025
2014,accademico,101,Torino,F,immatricolati,6715
2014,accademico,101,Torino,M,immatricolati,4271
2015,accademico,101,Torino,F,immatricolati,6940
2015,accademico,101,Torino,M,immatricolati,4485
2016,accademico,101,Torino,F,immatricolati,7633
2016,accademico,101,Torino,M,immatricolati,4855
2017,accademico,101,Torino,F,immatricolati,8058
2017,accademico,101,Torino,M,immatricolati,5264
2018,accademico,101,Torino,F,immatricolati,7994
2018,accademico,101,Torino,M,immatricolati,4946
