codice_istat,comune,anno,sesso,iscritti
017001,Acquafredda,2010,F,19
017001,Acquafredda,2010,M,7
017001,Acquafredda,2011,F,17
017001,Acquafredda,2011,M,7
017001,Acquafredda,2012,F,16
017001,Acquafredda,2012,M,8
017001,Acquafredda,2013,F,14
017001,Acquafredda,2013,M,8
017001,Acquafredda,2014,F,17
017001,Acquafredda,2014,M,5
017001,Acquafredda,2015,F,22
017001,Acquafredda,2015,M,7
017001,Acquafredda,2016,F,17
017001,Acquafredda,2016,M,9
017001,Acquafredda,2017,F,15
017001,Acquafredda,2017,M,9
017001,Acquafredda,2018,F,15
017001,Acquafredda,2018,M,11
017001,Acquafredda,2019,F,15
017001,Acquafredda,2019,M,13
017001,Acquafredda,2020,F,16
017001,Acquafredda,2020,M,11
017001,Acquafredda,2021,F,21
017001,Acquafredda,2021,M,7
017001,Acquafredda,2022,F,24
017001,Acquafredda,2022,M,9
017001,Acquafredda,2023,F,24
017001,Acquafredda,2023,M,14
017001,Acquafredda,2024,F,21
017001,Acquafredda,2024,M,15
017002,Adro,2010,F,58
017002,Adro,2010,M,57
017002,Adro,2011,F,73
017002,Adro,2011,M,48
017002,Adro,2012,F,74
017002,Adro,2012,M,53
017002,Adro,2013,F,73
017002,Adro,2013,M,50
017002,Adro,2014,F,73
017002,Adro,2014,M,60
017002,Adro,2015,F,78
017002,Adro,2015,M,62
017002,Adro,2016,F,74
017002,Adro,2016,M,52
017002,Adro,2017,F,71
017002,Adro,2017,M,52
017002,Adro,2018,F,81
017002,Adro,2018,M,51
017002,Adro,2019,F,95
017002,Adro,2019,M,58
017002,Adro,2020,F,104
017002,Adro,2020,M,59
017002,Adro,2021,F,105
017002,Adro,2021,M,66
017002,Adro,2022,F,103
017002,Adro,2022,M,60
017002,Adro,2023,F,102
017002,Adro,2023,M,68
017002,Adro,2024,F,113
017002,Adro,2024,M,67
017003,Agnosine,2010,F,21
017003,Agnosine,2010,M,19
017003,Agnosine,2011,F,20
017003,Agnosine,2011,M,15
017003,Agnosine,2012,F,17
017003,Agnosine,2012,M,18
017003,Agnosine,2013,F,17
017003,Agnosine,2013,M,13
017003,Agnosine,2014,F,17
017003,Agnosine,2014,M,10
017003,Agnosine,2015,F,14
017003,Agnosine,2015,M,8
017003,Agnosine,2016,F,13
017003,Agnosine,2016,M,6
017003,Agnosine,2017,F,16
017003,Agnosine,2017,M,8
017003,Agnosine,2018,F,13
017003,Agnosine,2018,M,7
017003,Agnosine,2019,F,13
017003,Agnosine,2019,M,6
017003,Agnosine,2020,F,18
017003,Agnosine,2020,M,6
017003,Agnosine,2021,F,23
017003,Agnosine,2021,M,8
017003,Agnosine,2022,F,23
017003,Agnosine,2022,M,9
017003,Agnosine,2023,F,22
017003,Agnosine,2023,M,12
017003,Agnosine,2024,F,19
017003,Agnosine,2024,M,10
017004,Alfianello,2010,F,24
017004,Alfianello,2010,M,17
017004,Alfianello,2011,F,26
017004,Alfianello,2011,M,21
017004,Alfianello,2012,F,25
017004,Alfianello,2012,M,15
017004,Alfianello,2013,F,27
017004,Alfianello,2013,M,20
017004,Alfianello,2014,F,26
017004,Alfianello,2014,M,19
017004,Alfianello,2015,F,39
017004,Alfianello,2015,M,17
017004,Alfianello,2016,F,40
017004,Alfianello,2016,M,15
017004,Alfianello,2017,F,37
017004,Alfianello,2017,M,13
017004,Alfianello,2018,F,33
017004,Alfianello,2018,M,13
017004,Alfianello,2019,F,31
017004,Alfianello,2019,M,13
017004,Alfianello,2020,F,35
017004,Alfianello,2020,M,14
017004,Alfianello,2021,F,32
017004,Alfianello,2021,M,14
017004,Alfianello,2022,F,34
017004,Alfianello,2022,M,16
017004,Alfianello,2023,F,29
017004,Alfianello,2023,M,21
017004,Alfianello,2024,F,30
017004,Alfianello,2024,M,22
017005,Anfo,2010,F,2
017005,Anfo,2010,M,1
017005,Anfo,2011,F,2
017005,Anfo,2011,M,2
017005,Anfo,2012,F,3
017005,Anfo,2012,M,2
017005,Anfo,2013,F,2
017005,Anfo,2014,F,2
