anno,ateneo_codice,ateneo,gruppo_codice,gruppo,regione_residenza,provincia_residenza,iscritti
2010,1501,Milano,13,Agrario-Forestale e Veterinario,LOMBARDIA,BERGAMO,27
2010,1501,Milano,13,Agrario-Forestale e Veterinario,LOMBARDIA,BRESCIA,59
2010,1501,Milano,13,Agrario-Forestale e Veterinario,LOMBARDIA,COMO,11
2010,1501,Milano,13,Agrario-Forestale e Veterinario,PIEMONTE,NOVARA,7
2010,1501,Milano,13,Agrario-Forestale e Veterinario,LOMBARDIA,SONDRIO,27
2010,1501,Milano,13,Agrario-Forestale e Veterinario,Provincia autonoma di TRENTO,TRENTO,7
2010,1501,Milano,13,Agrario-Forestale e Veterinario,LOMBARDIA,VARESE,6
2010,1504,Milano Cattolica,1,Educazione e Formazione,SICILIA,AGRIGENTO,7
2010,1504,Milano Cattolica,1,Educazione e Formazione,LOMBARDIA,BERGAMO,131
2010,1504,Milano Cattolica,1,Educazione e Formazione,LOMBARDIA,BRESCIA,1007
2010,1504,Milano Cattolica,1,Educazione e Formazione,SICILIA,CALTANISSETTA,6
2010,1504,Milano Cattolica,1,Educazione e Formazione,LOMBARDIA,CREMONA,84
2010,1504,Milano Cattolica,1,Educazione e Formazione,PUGLIA,LECCE,7
2010,1504,Milano Cattolica,1,Educazione e Formazione,LOMBARDIA,MANTOVA,60
2010,1504,Milano Cattolica,1,Educazione e Formazione,EMILIA ROMAGNA,PIACENZA,11
2010,1504,Milano Cattolica,1,Educazione e Formazione,SICILIA,SIRACUSA,5
2010,1504,Milano Cattolica,1,Educazione e Formazione,SICILIA,TRAPANI,5
2010,1504,Milano Cattolica,1,Educazione e Formazione,Provincia autonoma di TRENTO,TRENTO,36
2010,1504,Milano Cattolica,1,Educazione e Formazione,VENETO,VERONA,47
2010,1504,Milano Cattolica,10,Informatica e Tecnologie ICT,LOMBARDIA,BRESCIA,6
2010,1504,Milano Cattolica,14,Medico-Sanitario e Farmaceutico,LOMBARDIA,BERGAMO,17
